7673895
/m/0268hxn
/m/0268hxn
Andre Norton

a 25
abandoned 1
accept 1
accidentally 1
across 1
action 1
actual 1
afterwards 1
against 1
agent 1
ago 1
agrees 1
along 1
among 1
an 3
and 26
animation 2
another 1
antiaircraft 1
appear 1
are 10
areas 1
armed 1
arturo 1
as 3
assassinated 1
attack 1
automated 1
avoid 1
awaken 1
baby 1
back 2
barely 3
be 5
been 2
before 2
begin 1
being 1
best 1
blaming 1
blast 1
bring 1
brother 1
build 1
building 1
built 1
but 5
by 4
calculations 1
calls 1
can 6
capture 1
cargo 1
catastrophe 1
chemist 1
city 2
civilization 1
clan 1
classes 1
colonization 1
colony 1
comes 1
communicate 1
company 1
compete 1
composed 1
computer 1
contacts 2
container 1
continent 1
continues 1
control 1
convert 1
course 2
creature 1
crippled 1
dard 8
daughter 1
day 2
days 1
decrepit 1
defenders 1
desperate 1
desperately 1
dessie 5
detected 1
determine 1
devastate 1
different 1
discover 1
divisions 1
do 1
down 3
dragons 1
each 1
earth 1
ebbs 1
either 1
enough 1
enslaved 1
escape 3
escaped 1
espousing 1
expedition 1
explored 1
explorers 2
exploring 1
factions 1
fanatic 1
farm 1
feverishly 1
few 2
fighting 1
find 4
finishes 1
fly 1
flying 1
folley 1
following 1
for 7
found 3
free 2
friendly 1
from 2
future 1
go 1
goes 1
goods 1
great 2
guide 1
guns 1
had 1
hands 1
have 4
he 4
headquarters 1
heavilypopulated 1
hew 1
hiding 1
his 4
hold 2
home 2
hospitable 1
humanity 1
humans 2
hunted 1
hunting 1
if 1
in 6
information 2
inhabited 1
inside 1
intelligent 2
into 3
invention 1
is 11
it 4
its 1
journey 1
killed 2
kimber 1
know 1
land 1
landsman 1
landsmen 1
lars 7
last 1
lead 1
leads 1
learns 1
leave 1
left 1
less 1
life 1
live 1
local 1
located 1
long 1
lucky 1
makes 1
manage 2
many 2
mars 1
may 1
meaningless 1
memorize 1
memorized 1
men 1
moon 1
more 1
most 3
named 1
nationalists 1
near 1
need 2
network 1
never 1
new 2
newcomers 1
no 1
nobility 1
none 1
nordis 1
notifies 1
now 2
ocean 1
of 18
off 2
offspring 1
on 7
once 2
one 6
ones 1
only 2
or 3
orbit 1
orbiting 1
other 1
others 2
out 3
overseers 1
parents 1
patterns 1
pax 2
peacemen 5
peasantry 1
perhaps 1
period 1
pilotastrogator 1
place 1
planet 3
plot 1
political 1
precarious 1
precaution 1
priceless 1
problem 1
project 1
protects 1
purge 1
race 1
racial 1
racing 1
raid 1
reach 1
rearguard 1
refuge 3
refuse 1
rejected 1
religious 1
remaining 1
remains 1
renzi 1
research 1
result 1
retrieve 1
return 3
reveal 1
rises 1
road 1
rocket 1
ruling 1
sach 1
scientists 9
scouting 1
sea 2
secret 1
seeing 1
seems 1
seize 1
set 1
settlement 1
shot 1
signs 1
simba 1
simpler 1
since 1
slaves 1
sled 2
small 2
so 1
society 1
some 2
soon 2
space 1
species 1
star 1
stars 1
starship 1
stations 1
stays 1
still 3
stronghold 1
structured 1
succeed 1
supporters 1
surroundings 1
survive 1
survivors 1
suspected 1
suspended 2
suspicious 1
take 1
taken 1
task 1
techneers 1
technological 1
technology 2
telepathic 1
that 8
the 56
their 8
them 3
themselves 1
then 2
there 3
they 24
though 4
three 2
thriving 1
time 1
to 21
touch 1
tracked 1
trading 1
travelling 1
tribe 1
trusting 1
turns 2
two 1
tyranny 1
under 1
undergo 1
underground 1
unsuitable 1
up 1
using 1
vast 1
venus 1
very 1
visited 1
volunteers 1
waiting 1
walk 1
warred 1
warwrecked 1
was 1
weapon 1
were 1
what 3
when 4
which 1
while 2
who 2
will 1
with 5
within 2
words 1
work 1
working 2
works 1
workslaves 1
world 1
years 3
younger 1
