8684656
/m/027dw_6
/m/027dw_6
Daniel Pinkwater
1977
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
178 1
180s 1
34seagull34 1
a 4
all 4
also 1
an 1
and 4
are 1
be 1
believe 1
book 1
bright 1
brother 1
but 2
can 2
character 1
clearly 1
closely 1
daniel 1
drawings 1
dreams 3
drops 1
due 1
early 1
end 1
ends 1
everyone 1
flies 1
from 1
hallucinogenic 1
he 1
him 1
his 7
house 3
houses 2
if 1
in 5
instead 1
interview 2
into 1
is 2
it 3
libraries 1
like 5
lines 1
lives 1
look 3
looks 2
made 1
main 1
manus 1
many 1
marker 1
markers 1
missouri 1
most 1
mr 2
neat 1
neighbors 2
of 2
older 1
on 3
one 2
orange 1
others 1
our 3
over 1
paint 1
painting 1
paints 1
people 1
pinkwater 2
plumbean 2
pulled 1
reference 1
referenced 1
repainting 2
resemble 1
revealed 1
roof 1
same 1
say 1
seagull 2
see 1
send 1
steven 1
story 1
street 4
talk 1
talks 1
the 14
their 2
theirs 1
this 1
throughout 1
to 8
undertones 1
up 1
us 1
was 2
we 2
were 1
where 2
with 1
