2544786
/m/07m414
/m/07m414
Anthony Trollope
1876
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 13
able 1
accomplish 1
adventurer 1
after 2
again 1
against 2
also 2
always 1
and 16
anything 1
apart 1
appears 1
are 1
arthur 3
as 5
at 3
attempts 1
away 1
background 1
badly 1
barely 1
barsetshire 1
be 2
becomes 2
been 1
believe 1
between 1
books 1
both 1
breaks 1
but 1
buy 1
by 3
campaigns 1
can 1
castle 1
cause 1
causes 2
centres 1
chance 1
charismatic 1
choice 1
choose 1
city 1
coalition 2
colleague 1
commons 1
comparatively 1
compromise 1
contemptuously 1
contest 1
day 1
defended 1
demands 1
desperate 1
despite 1
diamonds 1
difficulty 1
disgrace 1
disobeyed 1
distressed 1
divided 1
does 1
doubtful 1
duchess 3
duke 6
earlier 2
election 2
emily 5
encourages 1
endorsement 1
enjoy 1
enticing 1
eponymous 1
ethnic 1
ethnicity 1
eustace 2
eventually 1
expenses 1
explicit 1
factor 1
family 1
father 1
favour 1
fear 1
ferdinand 1
finally 1
financial 1
financially 1
finn 2
fit 1
fletcher 3
for 4
forces 1
forgive 1
form 1
formed 1
former 1
formerly 1
fragile 1
from 1
front 1
furious 1
gambles 1
gatherum 1
genuinely 1
give 1
glencora 3
government 4
great 2
grows 1
guatemala 1
had 1
hardworking 1
has 7
have 2
he 10
help 1
her 7
here 1
hero 1
heroine 1
high 1
highrisk 1
him 6
himself 1
his 8
honour 1
hoping 1
hosting 1
house 1
husband 1
in 11
increasingly 1
inflexible 1
influence 1
initially 1
insists 1
installed 1
interfere 1
into 1
is 8
it 2
jewish 1
junction 1
known 1
lady 1
lavish 1
lead 2
led 1
life 2
lizzie 1
local 1
lopez 6
love 1
loved 1
many 2
marries 1
marry 1
meets 1
minister 1
minor 1
mourning 1
much 1
nature 1
neither 1
no 1
nor 1
not 2
novel 1
now 1
objections 1
of 13
office 1
old 1
omnium 1
on 2
one 2
order 1
out 1
overextended 1
own 3
palliser 6
parentage 1
parliament 2
parties 2
partly 2
party 1
people 1
period 1
personal 1
persuade 1
persuaded 1
phineas 3
plantagenet 1
political 1
popular 1
possibly 1
preference 1
presented 1
prime 1
private 1
proposition 1
protagonist 1
proves 1
redux 1
regret 2
reimburse 1
rejects 1
relief 1
residence 1
resigns 1
revealed 1
ruin 1
run 1
scandal 1
seat 1
sees 1
sense 1
sequence 1
shameless 1
she 2
significant 1
since 1
somewhat 1
soon 1
spare 1
spiritedly 1
stand 1
strong 1
subplot 1
suitor 2
suitors 1
support 1
supporter 1
takes 1
tenway 1
that 4
the 24
their 1
then 2
this 2
though 2
throwing 1
to 26
too 2
tories 1
tradesman 1
train 1
traits 1
treated 1
trollope 1
trying 1
two 2
undisclosed 1
unhappiness 1
unpleasant 1
unsure 1
until 1
unwisely 1
use 1
used 2
weak 1
wealth 1
wealthy 2
well 1
wharton 1
when 4
which 1
whigs 1
who 3
whom 1
wins 1
with 4
withdraws 2
without 1
would 1
you 1
