34321559
/m/0hzm5kc
/m/0hzm5kc
Valerio Massimo Manfredi

{"/m/0hwxm": "Historical novel"}
a 4
adoptive 1
after 1
again 1
all 1
along 1
and 8
antinea 1
any 1
aristodemus 1
armour 1
as 2
at 3
attempting 1
babies 1
back 1
battle 2
be 2
because 1
becomes 1
better 1
between 1
birth 1
blood 1
born 1
brithos 1
brother 5
brothers 2
brutality 1
but 1
by 1
children 1
citystate 2
citystates 1
country 1
cripple 1
crippled 2
crosses 1
cruel 1
deformed 2
destiny 1
dies 1
discovers 1
drawn 1
each 1
elder 1
empire 1
enchanting 1
faces 1
fate 1
father 1
fight 1
find 1
first 1
for 3
free 1
friend 1
from 1
future 1
gaze 1
goes 1
got 1
greek 1
had 2
has 1
have 1
he 6
health 1
helots 5
help 1
helps 1
here 1
him 1
his 10
hometown 1
however 2
in 5
inhuman 1
intriguing 1
is 4
issues 1
its 1
karas 1
king 1
kleidemos 1
last 1
laws 1
legend 1
legendary 1
life 1
like 1
looms 1
love 1
loves 1
meets 1
midst 1
military 1
mount 1
name 1
not 1
of 12
one 1
or 1
other 1
over 1
oversees 1
own 1
paragon 1
people 1
persian 1
protect 1
purpose 1
race 1
raises 1
real 1
recounts 1
rescued 1
runs 1
sacrificed 1
savagery 1
separation 1
serve 1
served 1
shall 1
shepherd 2
shoulder 2
since 1
slavery 1
slaves 1
soldiers 1
some 1
sparta 2
spartan 5
spartans 1
store 1
story 1
strict 1
survives 1
tale 1
talos 5
taygetus 1
that 3
the 32
their 2
them 1
therefore 1
thermopylae 1
these 1
thing 1
this 1
time 1
to 7
two 2
veins 1
victory 1
vigour 1
war 1
was 3
way 1
weaker 1
wears 1
were 1
when 2
which 1
whilst 1
who 3
will 2
with 2
woman 1
would 1
young 1
younger 1
