20990370
/m/05b0vy0
/m/05b0vy0
Nicholas Rinaldi
1999-02

a 2
affair 1
american 1
an 1
and 2
are 1
bombing 1
british 1
by 2
caused 2
central 1
closely 1
concerns 1
defence 1
defending 1
destruction 1
during 1
german 1
how 1
increasing 1
intelligence 1
is 1
island 3
it 1
join 1
jukeboxes 1
malta 2
maltese 2
melita 1
military 1
novel 1
of 2
operator 1
people 1
posted 1
privations 1
radio 1
raf 1
raids 1
raven 1
react 1
repairing 1
rocco 2
siege 2
small 1
story 1
tells 1
the 13
to 4
travels 1
unit 1
who 2
with 2
woman 1
working 1
