23592927
/m/06zll1w
/m/06zll1w
Gemma Malley
2008-05-05
15 1
2040 1
2080 1
2140 1
a 13
able 1
accepts 1
against 1
age 2
aging 1
agreeing 1
already 1
and 15
anna 8
annoyed 1
any 1
anyone 1
are 8
arouse 1
arrives 1
as 4
asset 2
at 4
attitude 1
away 4
bathroom 1
be 2
bear 1
because 1
become 2
becomes 2
been 1
being 1
believes 1
ben 1
between 1
birth 1
bold 1
book 1
born 2
bravery 1
bringing 1
britain 1
brother 1
but 3
by 3
call 1
called 1
calling 1
case 1
catchers 1
charge 1
children 3
close 1
comes 1
countries 2
course 1
covey 1
created 1
crime 1
crowded 1
curiosity 1
day 1
declaration 1
defies 1
diary 1
down 1
drug 1
dying 2
earth 1
every 1
everything 1
existence 1
father 1
find 1
first 1
following 1
for 6
forced 2
free 1
from 3
get 1
given 1
grange 4
hall 5
halls 1
hard 1
has 4
hate 1
have 2
he 1
helped 1
her 14
hide 1
him 2
his 1
house 1
however 1
if 2
in 14
individuals 1
insists 1
intrigued 1
invitation 1
is 9
it 1
julia 2
keeps 1
killed 1
killing 1
kills 1
knows 1
lady 2
later 1
leading 2
learned 1
legal 3
legals 2
life 1
live 1
lives 1
longevity 3
lot 2
love 1
make 1
making 1
margaret 1
matron 1
meanwhile 1
moment 2
month 1
mrs 2
named 1
nature 1
nearly 1
next 1
night 1
no 1
not 3
now 1
of 8
offensively 1
offers 1
old 1
one 2
order 1
ought 2
parents 6
part 1
partially 1
pending 1
people 2
peter 4
peters 1
pincent 2
pink 1
plot 1
prefect 1
prevent 1
proceeds 1
process 2
quickly 1
redeem 1
referred 1
refuse 1
resist 1
resistance 1
reuniting 1
rules 1
run 2
scientists 1
sharpe 3
she 9
sign 1
sins 1
small 1
some 1
soon 1
still 1
stop 1
such 1
surplus 4
surpluses 1
suspicion 1
take 2
taken 2
taught 1
telling 1
that 4
the 19
their 3
them 3
themselves 1
then 3
there 1
therefore 1
they 10
this 1
those 1
to 21
too 1
torn 1
trouble 2
turned 1
two 2
upon 1
upside 1
valuable 2
want 1
wants 1
was 1
well 1
when 1
where 1
which 3
who 2
whole 1
will 1
with 4
work 2
worked 1
world 2
would 1
writes 1
year 3
years 1
yet 1
