3446997
/m/09cxc2
/m/09cxc2
Gennifer Choldenko
2004
a 13
able 1
accepted 1
after 2
al 3
alcatraz 3
also 1
among 1
and 13
as 1
asking 1
assigned 1
autism 1
autistic 1
baseball 2
because 1
best 1
brandnew 1
brother 1
buttons 2
by 1
cake 1
can 2
capone 3
care 1
children 2
classmates 1
collecting 2
complicating 1
constant 1
convicts 1
convince 1
counting 1
crushing 1
daughter 1
deal 1
delight 1
does 1
done 1
duty 1
education 1
enroll 1
entire 1
esther 2
even 2
family 2
father 1
few 1
find 1
finding 1
finds 1
fit 1
fits 1
flanagan 2
flanagans 1
for 3
friend 1
from 2
girl 1
go 1
got 1
gradually 1
guard 1
has 1
have 3
he 4
help 2
helps 1
her 3
him 1
his 11
hopes 1
how 1
in 6
including 1
interests 1
into 2
is 6
island 2
job 1
just 1
last 1
later 1
laundry 2
learns 1
lemon 1
lessons 1
letter 1
life 2
like 1
loving 1
lures 1
make 1
makes 1
marinoff 2
meets 1
mind 1
misses 1
money 1
moose 11
more 1
mother 1
motherhelen 1
moved 1
music 1
must 1
natalie 9
needs 1
new 2
newly 1
note 3
obsession 1
of 6
old 1
older 2
on 3
or 1
other 1
out 1
p 2
paragraph 1
parents 1
piper 3
play 1
prison 2
promise 1
really 1
recognition 1
rejected 1
repeatedly 1
says 1
scheme 1
school 7
screaming 1
secretly 1
shirt 1
sister 4
slips 1
so 2
special 1
struggles 1
take 1
takes 1
teaches 1
team 1
tells 1
that 4
the 14
their 1
to 15
tried 1
unsuccessfully 1
very 1
warden 1
washed 1
way 2
ways 1
weeks 1
who 1
wing 1
with 4
writes 1
