12365784
/m/02w18rb
/m/02w18rb
Anita Loos


127 1
a 10
after 1
also 1
an 1
and 6
anita 1
any 1
as 1
at 1
background 1
be 1
becoming 1
blonde 1
blondes 1
bloom 1
bright 2
broker 2
bubbly 1
burning 1
by 3
carnival 1
chance 1
charlie 2
circus 1
city 1
claude 1
company 1
discovered 2
divorce 1
does 1
dorothy 8
dorothy3s 3
eccentric 1
everything 1
famous 1
find 1
finds 1
fires 1
follies 3
founder 1
friend 2
from 2
gentlemen 1
gives 1
gloria 1
grew 1
hands 1
have 1
help 1
helps 1
her 6
hired 1
home 1
however 1
husband 1
ideas 1
in 3
independence 1
into 1
introduce 1
introduced 1
is 7
it 2
jerry 1
job 1
keep 1
kill 1
lands 1
leaving 1
lester 3
little 1
loos 1
lorelei 1
lots 1
lover 1
marriage 1
marries 2
matters 1
might 1
mr 1
mrziegfeld 3
narrated 1
new 3
not 1
of 4
off 2
office 1
one 1
outside 1
own 1
personality 1
player 2
position 1
prefer 1
prevent 1
protagonist 1
refer 1
reform 1
romance 1
saxophone 2
school 1
second 1
sequel 1
she 7
so 1
soon 1
style 1
takes 1
taking 1
tale 1
talent 1
talented 1
tells 1
that 3
the 12
thrown 1
to 9
unique 1
up 1
violent 1
waits 1
wanted 1
was 1
way 1
when 1
who 2
wit 1
with 1
without 1
woman 3
york 2
young 3
ziegfeld 3
