14287253
/m/03c_flz
/m/03c_flz
George Smoot
1994
12 1
2006 1
2007 1
23 1
a 3
about 1
adventure 1
all 1
along 1
analyzed 1
and 5
announced 1
april 1
as 1
astrophysicist 1
award 1
background 1
bang 1
been 1
big 1
book 6
brief 1
brings 1
by 3
called 2
calls 1
century 1
concepts 1
consumed 1
cosmic 1
cosmologists 1
cosmology 2
course 1
cover 1
data 1
date 1
describes 1
discovered 1
discoveries 1
discovery 2
eventually 1
explorer 1
finding 1
for 2
found 1
from 1
gathered 1
generated 1
george 1
giving 1
grail 1
grown 1
had 1
has 2
hawking 1
he 1
his 2
holy 1
if 1
important 1
in 13
interest 1
introductions 1
known 1
led 1
longanticipated 1
missing 1
model 1
nasa 1
new 1
nobel 1
not 1
objects 1
observations 1
obstacle 1
of 6
oldest 1
on 2
physicist 1
physics 2
piece 1
primordial 1
prize 1
quest 2
reader 1
remarkable 1
reprint 1
reprinted 1
research 1
result 1
resulted 1
satellite 1
scientific 2
seeds 2
smoot 5
so 1
some 1
stephen 1
structure 1
tale 1
team 1
tells 1
that 1
the 26
theoretical 1
they 2
this 1
thus 1
time 1
timenbsp 1
to 2
traces 1
twenty 1
universe 2
universenbsp 1
up 1
was 1
way 1
what 1
which 1
winning 1
wrinkles 1
years 1
