8072842
/m/026qfrv
/m/026qfrv
Michael Marshall Smith

{"/m/014dfn": "Speculative fiction"}
a 11
abducted 1
about 2
accident 1
after 1
alive 1
american 1
an 1
and 2
another 1
appears 1
are 2
as 1
be 1
between 1
book 2
bury 1
busy 1
car 1
cia 1
come 1
concerns 1
conventional 1
crack 1
daughter 1
detective 1
do 1
duo 1
early 1
encounters 1
enlisted 1
exhomicide 1
family 1
fastfood 1
fire 1
first 2
found 1
franchise 1
friend 1
going 1
gunmen 1
happens 1
has 1
he 1
his 2
home 2
hopkins 1
in 4
investigations 1
is 5
it 2
john 1
jumps 1
killers 1
man 1
maybe 1
mcdonalds 1
men 1
narrative 1
of 3
open 1
opens 1
operative 1
out 1
parents 1
person 2
persuaded 1
piece 1
provide 1
psycho 1
pursued 1
quickly 1
remainder 1
retirement 1
scene 1
second 1
serial 1
set 1
since 1
small 1
someone 1
spiral 1
still 1
storylines 1
strand 1
straw 1
suffered 1
suggests 1
tape 1
telling 1
tend 1
that 3
the 7
they 3
things 1
third 1
to 6
town 1
two 1
typically 1
us 1
victim 1
video 1
ward 1
where 1
who 3
wise 1
with 3
young 1
zandt 1
