27886250
/m/0ch1q8b
/m/0ch1q8b
Elmore Leonard
1993

a 11
about 2
account 1
action 1
activities 2
addition 1
affiliate 1
again 1
against 2
agents 1
aid 1
airport 1
all 2
an 3
and 8
another 1
are 1
army 1
arno 1
as 1
ask 1
atlanta 1
away 1
baby 1
back 1
bank 1
because 1
becomes 1
bloodied 1
bond 1
bookie 1
bookmaker 1
boss 1
briefly 1
bring 1
but 1
by 3
cap 6
capotorto 1
causes 1
cold 1
comes 1
consequently 1
cool 1
corpulent 1
crowe 1
danger 1
dash 1
dead 1
defend 1
demonstrates 1
department 2
deteriorate 1
dreaming 1
drinking 1
during 1
earl 1
ending 1
endlessly 1
ends 1
even 1
events 1
evidence 1
existence 1
exstripper 1
ezra 1
failure 1
faster 2
federal 1
figures 1
first 1
following 1
follows 1
for 6
force 1
foreign 1
form 1
former 2
french 1
from 1
gave 1
gee 1
gets 1
girlfriend 2
give 1
givens 1
going 1
good 1
gun 1
harry 21
has 1
have 1
he 3
hell 1
helps 1
hill 1
him 3
his 11
hit 1
holed 1
homeland 1
honor 1
humiliates 1
idyllic 1
if 1
in 12
incarcerated 1
information 1
inundated 1
is 5
italian 1
italy 2
jimmy 5
joyce 3
justice 2
killed 1
legionnaire 1
life 2
lives 1
living 1
losing 1
lot 1
lowlife 1
macho 1
makes 1
man 1
managed 1
many 1
marine 1
marshal 1
matter 1
mean 1
message 1
miami 1
million 1
mob 2
mobsters 2
money 1
more 1
move 1
murder 1
nearly 1
nicky 1
nostalgic 1
now 1
of 8
old 1
once 1
operation 1
other 1
out 2
over 3
patton 1
penchant 1
people 1
picaresque 1
players 1
poet 1
pound 2
previous 1
protection 1
pursued 1
putting 1
quietly 1
rapallo 4
raylan 3
real 1
redeem 1
resort 1
retire 1
retirement 1
robert 1
s 2
salt 1
sea 1
second 1
seeks 1
sends 1
seriously 1
set 1
several 1
shows 1
sitting 1
situation 1
sixtysix 1
skimmed 1
skimming 1
skips 1
slip 1
small 1
so 3
soon 1
starts 1
stronzo 1
stuff 1
swiss 1
take 3
talked 1
tells 1
testa 1
that 3
the 24
these 1
they 1
this 1
time 1
to 14
toward 1
triggerhappy 1
try 1
turn 1
u 2
up 3
villa 2
village 1
violence 1
wants 3
was 2
when 2
which 3
who 2
will 2
with 5
witness 1
word 1
year 1
years 1
zip 3
