1775339
/m/05vysr
/m/05vysr
David Gemmell
1984-04
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
10000 1
30 1
500000 1
a 8
abalayn 2
able 1
also 2
an 5
and 14
army 2
as 2
at 3
avoid 1
axe 1
baresark 1
battle 1
be 2
because 1
been 2
believes 1
brewing 2
bronze 1
but 3
by 2
can 2
choice 1
commission 1
complement 1
continue 1
courage 1
death 1
defence 1
defend 1
defenders 2
defending 1
delnoch 7
destiny 2
die 1
different 1
drenai 9
dros 4
druss 3
during 1
each 1
earl 1
empire 2
end 1
eventually 1
exarmy 1
except 1
fall 1
falls 1
fate 1
fight 1
find 1
finds 1
first 1
flicks 1
follows 2
for 5
foretold 1
forged 1
formidable 1
fortress 4
gateway 1
gather 1
general 2
given 2
goes 1
good 1
great 4
greater 1
greatest 2
group 1
guarded 1
has 2
have 1
he 3
heartlands 1
held 1
hero 1
high 1
hinges 1
his 8
hold 1
horde 1
however 1
idealist 1
if 1
in 5
inspirational 1
into 2
is 8
it 2
its 1
keep 1
lacked 1
last 1
leader 2
leadership 1
leaves 1
legend 1
less 1
life 2
light 1
love 1
magnus 1
man 1
marched 1
marches 1
massive 1
men 2
might 1
months 1
much 1
nadir 3
narrow 1
natural 1
negotiate 1
new 1
noone 1
north 1
novel 1
odds 1
of 15
officer 1
on 3
once 1
one 2
order 1
other 1
over 1
pass 1
people 4
perspective 1
persuasion 1
possessed 1
priest 1
priests 1
prime 1
purpose 1
reduced 1
regnak 1
rek 2
resigned 1
returns 1
risk 1
seeing 1
senility 1
several 1
short 1
siege 1
six 1
sixties 1
snaga 1
stages 1
still 1
stories 1
story 2
strong 1
than 2
that 2
the 40
their 2
thirty 1
this 1
threat 1
three 1
time 3
to 13
took 1
train 1
treaties 1
tribal 1
truly 1
trying 1
two 1
ulric 2
under 3
unfit 1
united 1
walls 1
wanderer 1
wandering 1
war 2
warleader 1
warrior 2
was 1
weaker 1
while 1
who 2
whose 1
with 2
woman 1
world 1
woundweaver 1
