7097617
/m/0h41hn
/m/0h41hn
Giles Foden
2004-09-30
{"/m/05hgj": "Novel"}
115 1
28 1
a 8
actions 1
admiral 1
admiralty 1
advantage 1
africa 2
after 2
aid 1
all 1
an 2
and 10
anglobelgian 1
as 2
at 2
atlantic 1
attack 1
being 1
belgian 1
boats 2
britain 1
british 3
but 1
by 2
called 1
captured 1
carried 1
cat 1
central 1
chief 1
childish 1
command 1
commander 1
commune 1
complete 1
congo 2
controlled 1
court 1
craft 1
david 1
decided 1
del 1
destruction 1
did 1
difficulty 1
dispatched 1
dog 1
dominant 1
during 1
eccentric 1
edge 1
engage 1
engines 1
existence 1
expedition 3
fifi 1
for 3
force 1
formidable 1
french 1
from 2
gamble 1
geoffrey 1
german 4
germans 2
given 1
graf 2
great 2
gtzen 2
gunboats 1
had 1
he 2
hedwig 2
her 1
his 2
in 7
including 1
informant 1
is 1
it 2
journey 2
june 1
kigani 1
known 2
lake 6
land 1
larger 1
lee 1
liar 1
long 1
longest 1
lt 1
man 1
martialled 1
men 1
mimi 1
month 1
much 1
mules 1
named 2
naval 3
navy 1
needed 1
no 1
not 1
observations 1
ocean 1
of 11
officer 1
oldest 1
on 4
one 2
onomatopoeia 1
own 1
positions 1
remained 1
retake 1
royal 1
sank 1
scuttled 1
ship 1
ships 1
sir 1
small 1
so 1
south 1
spicersimson 1
steam 1
strategic 1
tanganjikasee 1
tanganyika 2
that 1
the 31
their 1
they 2
through 1
time 1
to 4
toutou 1
train 1
travelled 1
two 3
unaware 1
until 1
upon 1
vast 1
vessel 1
via 1
von 4
wake 1
war 1
warship 1
warships 2
was 7
were 1
which 3
who 1
wissman 2
with 2
world 2
wrecking 1
