13027973
/m/02z3xz2
/m/02z3xz2
Vita Sackville-West
1931
1 1
2 1
3 1
a 5
acquaintance 1
after 1
aged 2
all 1
allowing 1
alone 1
amongst 1
amusement 1
an 1
and 14
annoyance 1
appointment 1
approaching 1
art 1
as 2
at 1
avoiding 1
been 2
bequeaths 1
between 1
breakoff 1
bucktrout 1
but 2
by 1
care 1
caught 1
causing 1
children 2
childrens 1
choice 1
collection 2
completely 1
composed 1
concludes 1
connects 1
considers 1
consternation 1
contemplative 1
controls 1
cottage 2
could 1
death 1
deborah 2
decades 1
descendants 1
developing 1
discovers 1
disgust 1
divide 1
dutiful 1
earlier 1
end 1
engagement 1
equally 1
events 2
ever 1
example 1
except 1
eye 1
family 1
fashionable 1
first 1
fitzgeorge 2
fitzgeorges 1
for 3
forgotten 1
form 1
fortune 3
friendship 1
friendships 1
from 2
gives 1
gosheron 1
great 2
greatgranddaughter 1
hampstead 1
handyman 1
happiness 1
has 4
her 20
herself 2
himself 1
his 2
house 1
husbands 1
in 6
india 2
influences 1
initial 1
intimate 1
into 1
introduces 2
is 3
kensington 1
lady 9
landlord 1
leave 1
life 4
lifes 1
live 1
lords 1
love 1
maids 1
maidservant 1
makes 1
man 1
member 1
mr 4
much 2
muses 1
music 1
not 1
observer 1
of 8
only 1
others 1
outstanding 1
over 1
own 1
part 4
particular 1
parts 1
passion 1
past 1
path 1
people 1
permitted 1
place 1
plan 1
playful 1
please 1
primarily 1
property 1
proposing 1
public 1
pursue 1
quiet 1
relationships 1
relinquishing 1
relives 1
responsibility 1
reviews 1
settled 1
share 1
she 4
shorter 1
since 1
slane 7
slanes 2
spent 1
state 1
still 1
suburban 1
summer 2
sun 1
takes 1
taking 1
than 1
that 2
the 13
them 1
they 2
thoughts 1
three 1
time 1
to 9
understanding 1
unexpectedly 1
up 1
vast 1
viceroy 1
view 1
visit 1
wealth 1
where 1
who 1
wife 1
will 1
with 3
written 1
youthful 1
