2678768
/m/07xdtt
/m/07xdtt
Kate Tremayne
2001-12-06
{"/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 4
adam 1
agent 1
all 1
an 2
and 3
as 2
attacks 1
becomes 1
brother 1
but 1
can 1
causes 1
child 3
disown 1
enemy 1
ensuring 1
escape 1
estate 1
evidence 1
execution 1
faces 1
family 1
father 2
find 2
for 1
fortune 1
found 1
france 1
from 1
future 1
halfgypsy 1
has 1
he 2
heir 1
helping 1
her 2
heritage 1
him 3
his 10
home 1
in 1
innocence 1
is 3
john 2
lanyon 2
lose 1
made 1
making 1
married 1
meanwhile 1
meriel 2
murdered 1
new 1
nobility 1
now 2
of 3
pointing 1
pregnant 1
proving 1
returns 1
revolution 1
rival 1
second 1
senara 1
smuggler 2
some 1
soon 1
st 2
success 1
support 1
thadeous 1
the 4
their 1
threatening 1
to 9
turmoil 1
undercover 1
unless 1
way 1
when 1
wife 3
with 2
