17182328
/m/043k7hh
/m/043k7hh
Shani Mootoo
1996
a 15
about 1
abuses 1
act 1
addresses 1
admirer 1
adopt 1
adopted 1
adult 1
affair 1
affection 1
afraid 1
after 3
again 1
age 1
aging 1
all 5
almost 1
alms 2
also 2
alternative 1
ambrose 9
ambroses 1
an 6
and 37
announced 2
another 2
anytime 1
are 4
around 1
arrested 1
arriving 1
as 1
asha 5
at 4
attacked 1
attempt 1
attend 1
attention 1
attractive 1
audience 1
away 2
awoke 1
back 1
be 3
beautiful 1
became 1
because 1
bed 1
before 2
began 2
begin 1
beginning 1
begins 3
behind 1
being 2
between 4
birds 1
birth 1
body 4
book 2
boyie 2
boys 1
broke 1
brushed 1
budding 1
burning 1
but 2
by 3
call 1
called 1
came 1
cares 1
caught 1
chance 1
chandin 12
chandins 1
child 1
childhood 2
children 3
christianity 2
cigarette 1
closer 1
clothes 1
collapsed 1
come 1
company 1
comparison 1
conceal 1
confess 1
conflict 1
confrontation 1
confronted 1
confusion 1
connection 1
constant 1
constraint 1
contact 1
contention 1
continued 1
conversion 1
conversions 1
courage 1
court 1
cousin 1
covered 1
crazy 1
crickets 1
culminating 1
dad 1
dances 1
dared 1
darkness 1
daughter 2
daughters 3
day 6
days 1
decided 3
decisive 1
deliver 1
delivered 1
delivery 1
demented 1
detail 1
development 1
discovery 3
distant 1
does 1
down 1
downstairs 1
drawn 1
dressed 1
drink 1
driven 1
during 3
each 1
early 2
eldest 1
elope 1
encouraging 1
engaged 1
engagement 1
enraged 1
enter 1
enters 1
entire 1
escape 1
especially 1
eventually 2
every 1
exchange 1
explanation 1
fallen 1
father 8
fathers 3
feel 1
feelings 1
feels 1
field 1
fine 1
firmly 1
first 3
flashback 1
for 7
found 2
friend 1
friends 1
frogs 1
from 6
further 1
gains 1
gave 2
general 1
girl 1
girlfriend 1
god 1
gospel 1
gossip 1
grow 1
growing 1
had 9
happened 1
has 2
have 2
he 12
heard 2
hears 1
heartbroken 1
heavily 2
her 20
him 7
himself 1
his 21
home 4
hope 2
hopes 1
house 7
however 3
i 2
ii 1
iii 2
imitations 1
immediately 1
in 26
includes 1
indentured 1
india 1
indian 3
indians 1
infamous 1
inside 1
intention 1
intercourse 1
interweaves 1
intimacy 1
into 3
investigated 1
is 9
it 1
iv 2
judge 1
kept 1
labor 1
later 1
lavinia 10
lavinias 1
leaving 3
left 2
letters 1
life 1
like 1
line 1
lived 1
lock 1
longdecaying 1
longlost 1
love 5
mad 1
madly 1
make 1
makes 1
making 1
mala 15
malas 9
male 1
man 2
marry 1
meantime 1
memories 1
memory 2
mist 1
mistaking 1
mohanty 1
moment 1
month 1
more 1
mothers 1
move 1
murder 1
murdering 1
nana 1
nature 1
never 1
news 3
next 1
night 3
northern 2
not 1
notice 1
notoriously 1
novel 4
nurse 1
nurses 1
nursing 2
of 34
off 2
often 1
old 1
on 3
once 1
one 7
only 3
opens 1
ordered 1
other 3
otoh 7
out 1
outside 1
paradise 5
parents 1
part 6
parts 1
perfect 1
physical 1
planned 1
plot 1
pohpoh 9
police 2
prepare 1
prepared 1
protected 1
provides 2
provisions 1
quite 1
ramchandin 2
ran 1
raped 1
rapes 1
rather 1
reach 1
realizes 1
recollections 1
recounted 1
reflecting 1
rejected 1
relationship 1
religion 1
remained 1
reputation 1
resolution 1
result 1
retrieve 1
returned 3
returns 2
reverend 4
rich 1
right 1
romance 1
room 1
runs 1
safely 1
same 2
sarah 7
school 2
screaming 1
scrutiny 1
sections 1
sedated 1
seduced 1
see 1
seen 1
seminary 1
sense 1
sent 1
several 1
severely 1
sexual 2
sexuality 1
she 9
shivering 2
shorter 1
show 1
significantly 1
sin 1
since 2
sister 2
sleep 1
slowly 1
smells 1
smoking 1
sneaks 1
son 1
sounds 1
source 1
speak 1
species 1
spread 1
spreading 1
stand 1
sting 1
stopped 1
story 2
street 1
studying 1
subject 1
subsequent 1
such 1
suspected 1
taken 1
takes 1
tell 1
telling 1
terrified 1
than 1
that 14
the 66
their 3
then 5
there 1
therefore 1
they 3
this 1
thoroughly 1
three 2
through 1
time 2
to 41
together 1
traces 1
traveled 1
trial 1
tried 1
trust 1
trying 1
two 2
tyler 4
tyranny 1
unattainability 1
unconscious 1
under 2
unexpected 1
unfit 1
unfortunately 1
unusual 1
up 4
upon 1
v 2
visit 2
visited 1
visitors 1
vivid 1
wanted 2
was 4
went 1
were 2
wetlands 3
what 1
when 3
which 3
while 1
white 1
who 1
whom 1
wife 4
will 1
with 15
woman 2
work 1
would 3
yard 1
yet 1
young 1
younger 1
