1022678
/m/03_34g
/m/03_34g
James Clavell
1993-06
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
14 1
1862 1
a 3
advisors 1
an 1
anato 1
and 8
angelique 3
are 2
arm 1
at 1
attacked 1
babcott 1
back 1
become 1
bed 1
both 1
by 1
canterbury 2
cells 1
current 1
daimyo 1
day 1
days 1
dr 1
emotions 1
escapes 1
eventually 1
expected 1
fictional 1
for 1
get 1
he 4
help 1
his 3
hodogaya 1
idealists 1
in 4
incident 1
injury 1
inn 1
is 4
ji 1
john 1
kanagawa 1
kanagawaku 1
katsumata 1
killed 1
last 1
later 2
long 1
make 1
malcolm 5
meanwhile 1
meets 1
merchant 1
minor 1
moved 1
movement 1
namamugi 1
not 1
of 5
on 3
one 1
only 1
opens 1
operates 1
ori 2
overthrow 1
phillip 1
plots 1
receives 2
rendition 1
revolutionary 1
richaud 1
riding 1
ronin 1
ryoma 1
samurai 1
sanjiro 1
satsuma 2
september 1
seriously 1
settlement 1
shishi 1
shogunate 1
shorin 2
shows 1
sick 1
sonn 1
story 1
struan 1
that 1
the 7
their 1
they 1
tkaid 1
to 5
two 1
tyrer 3
unharmed 1
village 1
when 1
where 1
while 1
who 1
whom 1
wife 1
will 1
with 3
wounded 1
xenophobic 1
yokohama 2
