4576928
/m/0c9q8w
/m/0c9q8w
Hideaki Sena
1995
a 11
able 2
achieve 1
adaptable 1
after 1
almost 1
also 3
an 6
and 14
announces 1
anticipates 1
anzai 1
are 3
arrived 1
as 5
asakura 4
assistant 2
at 1
be 5
been 1
being 2
between 2
biological 2
birth 1
bodies 2
body 10
book 1
born 2
brain 1
bursts 1
but 1
by 3
can 3
capable 1
capture 1
car 1
carry 1
cause 1
causes 1
causing 2
cell 1
cells 5
cellular 1
certain 1
change 2
child 6
code 2
combustion 1
conditions 2
conference 1
conscious 1
consciously 1
control 6
crash 1
cultures 2
dead 1
death 1
descent 1
destroyed 1
develops 1
dies 2
different 1
dispersed 1
doctor 1
doing 1
donation 1
dubbed 1
during 1
early 1
egg 3
endosymbiotic 1
energy 1
ensure 1
epilogue 1
eukaryotic 1
eve 11
eventually 1
evolution 1
evolved 1
existence 1
experiment 2
factories 1
fails 1
female 2
fertilize 1
fighting 1
for 4
form 3
forming 1
forms 1
fortunately 1
found 2
from 1
genetic 2
girl 1
gives 1
giving 1
grow 1
has 4
have 1
he 2
her 6
him 1
his 3
history 1
hospital 1
host 3
humanity 1
humans 1
husband 1
ie 1
immediately 1
immune 1
implants 1
in 11
independent 2
infinitely 1
influences 2
inherited 2
intelligent 1
intermittently 1
into 4
is 10
it 4
its 4
kidney 1
kidneys 1
kill 1
kiyomi 9
lab 3
leaving 1
life 5
lifeform 1
lifeforms 3
line 2
liver 2
make 1
male 2
many 1
mariko 4
merging 1
minds 1
mitochondria 5
mitochondrial 2
moving 1
nagishima 1
new 2
no 1
novel 2
occur 1
of 22
one 1
order 1
organ 1
organelles 1
organisms 1
originally 1
otherwise 1
out 2
over 1
own 2
part 2
people 2
perfect 2
plot 1
position 1
possesses 1
potential 1
power 1
prepares 1
presence 1
present 1
presentation 1
production 1
provide 1
psychokineticlike 1
pursues 1
quantities 1
race 1
rapes 1
rebel 1
relationship 1
replacing 1
research 1
researching 1
resist 1
returns 1
revealed 1
right 1
sachiko 1
samples 1
science 1
see 1
separate 2
she 8
shortly 1
signaling 1
similar 2
since 1
some 4
speech 1
sperm 3
spontaneous 1
start 1
sufficient 1
suitable 1
supposes 1
survived 1
survives 1
switch 1
symbiotic 1
system 1
take 1
takes 2
teaching 1
teenage 1
that 10
the 30
their 2
them 3
theory 1
these 2
they 2
thinks 1
this 3
thought 1
thoughts 1
threaten 1
throes 1
through 2
throughout 1
thus 1
to 21
toshiaki 8
transplanted 1
true 1
undergo 1
upon 1
uses 1
using 1
waited 1
waiting 1
were 1
when 1
which 3
will 3
wiped 1
with 3
womb 1
work 1
would 1
