1590659
/m/05dxkv
/m/05dxkv
Nancy Farmer
2002
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0c082": "Utopian and dystopian fiction"}
148yearold 1
a 25
about 3
abusive 1
across 1
act 2
afraid 1
against 1
ago 1
alacran 1
alacrn 3
alacrns 1
alive 2
all 3
already 1
also 4
among 1
an 6
and 34
animal 1
animals 1
another 1
are 7
aristocrat 1
around 1
arriving 1
arsenic 1
as 7
at 5
attack 2
attempt 1
away 2
aztln 3
barefoot 1
be 4
became 1
because 2
become 2
becomes 3
been 1
before 1
being 2
betrayed 1
between 1
big 3
blossoms 1
bodyguard 1
border 1
bored 1
boys 5
brains 2
bring 1
business 1
but 7
by 9
called 2
can 1
captivates 1
carefully 1
carry 1
catch 1
cease 1
celia 5
cells 1
certainly 1
chaos 1
character 1
charge 2
childhood 1
children 2
chips 1
city 1
claiming 1
clear 1
clone 3
clones 1
clothes 1
colony 1
comes 1
commands 1
comply 1
compound 1
computer 1
conditions 1
confirms 1
consists 1
contamination 1
continue 1
convent 1
convinces 1
cook 1
country 3
cripples 1
crossing 1
cruel 1
cultured 1
daft 1
danger 1
dark 1
day 2
decades 1
decides 1
defies 1
delectable 1
deliberately 1
denial 1
die 1
dies 3
different 1
direction 1
discovered 1
discovers 2
disgusted 1
dismantle 1
dispose 2
do 3
doing 1
donald 1
doses 1
drank 1
drooling 1
drug 2
during 1
each 1
earned 1
eejit 1
eejits 2
either 2
el 21
else 2
emilia 4
end 2
enjoy 1
enough 1
enraged 1
enslave 1
ensuing 1
entertained 1
esperanza 2
essentially 1
estate 3
everybody 2
everyone 4
evidence 1
except 1
excriminals 1
excuse 1
existence 1
experienced 1
fail 1
fair 1
farm 1
farms 1
fatal 1
father 1
fervent 1
few 1
figure 1
filled 1
filthy 1
find 1
first 2
flee 1
flees 1
follow 1
followers 1
food 1
for 12
forcing 1
forever 1
frail 1
friends 2
friendship 1
from 4
frozen 1
funeral 1
genetic 1
get 1
given 1
gives 2
giving 2
glass 1
go 2
going 1
gradually 1
greatgrandson 1
group 1
grown 1
had 1
hard 1
harvested 1
has 5
have 2
having 1
he 18
heart 3
heir 1
her 2
hero 1
hiding 1
him 13
himself 2
hire 1
his 9
horse 1
hospital 1
house 3
however 3
humans 1
identity 1
if 3
illdisguised 1
illegal 2
immediately 2
immigrants 2
implanted 1
in 19
incredibly 1
informs 1
inhabitants 1
injected 1
instead 1
intending 1
intends 1
into 4
is 23
it 6
its 1
joke 1
jumping 1
jumps 1
keep 1
keepers 5
keeping 1
kept 2
kill 2
kind 1
kindly 1
known 3
knows 1
labor 1
land 1
large 1
last 1
leads 1
learn 1
learns 1
leave 1
less 1
life 1
lin 5
litter 1
little 1
live 1
lived 1
lives 2
lockdown 1
locked 1
lonely 1
look 1
lord 1
lost 2
love 1
luis 1
luxurious 1
maid 1
main 1
making 1
manages 1
mansion 3
manual 1
mara 7
marxism 1
matt 31
matteo 1
meanwhile 1
measured 1
men 1
mexico 1
moment 1
months 1
more 2
most 1
mother 2
move 1
mr 3
must 1
named 1
nearest 1
nearfatal 1
never 1
new 1
next 3
no 2
not 3
now 1
observe 1
of 22
offer 1
on 3
one 4
only 5
onto 1
operate 1
opium 4
opiumproducing 1
or 3
ordered 1
orders 1
organs 2
orphans 3
ortega 1
other 2
out 1
outcast 1
own 2
pain 1
path 1
patrn 18
patrol 1
patron 3
penal 1
people 1
perform 1
piano 1
plankton 2
poisoned 1
police 1
politically 1
powerful 2
practices 1
pretends 1
protection 1
punishes 1
purpose 1
quarters 1
quickly 1
realized 1
reason 1
rebellion 1
recognizes 1
reenter 1
regime 1
respect 1
return 1
reveals 2
revulsion 1
rides 1
right 1
romance 1
room 2
ruled 1
ruler 1
run 2
san 1
sawdust 1
search 1
sent 1
served 1
set 2
sets 1
seven 1
she 1
simple 2
sister 1
six 1
smashed 1
smashes 1
so 5
soon 1
spoiled 1
state 1
states 1
steven 3
still 1
stop 1
story 1
strip 1
struggle 1
studies 1
subsist 1
sufficient 1
supplies 1
supposed 1
surrogate 1
survive 1
take 1
taken 3
tam 5
task 1
tasks 1
tells 1
tempted 1
test 1
than 1
thanks 1
that 16
the 53
their 3
them 6
then 5
there 1
these 3
they 8
think 1
this 2
though 1
thrashing 1
through 1
ties 1
time 1
to 39
told 1
trafficking 1
transferred 1
treat 2
treated 2
treatment 1
trouble 1
tube 1
turn 1
turns 1
tutors 1
two 1
unaware 1
united 1
until 3
upon 1
vengeance 1
want 1
wanted 2
warrant 1
was 5
wedding 1
were 1
when 8
where 2
which 2
while 1
who 10
whom 1
will 1
window 2
wine 1
wings 1
with 12
workforce 1
working 1
works 1
would 2
years 3
yet 1
zombies 1
