11605370
/m/02rl7__
/m/02rl7__
Jennifer Rowe
2001
a 14
after 2
all 2
also 3
always 1
and 20
animals 1
appears 1
are 1
as 3
at 1
atop 1
barda 3
be 3
beads 2
become 1
both 1
bought 1
bread 1
broad 1
bubbles 2
buy 1
by 3
called 2
can 1
card 1
cards 1
caused 1
center 1
children 2
choices 1
city 6
clean 2
clothes 1
come 1
comes 1
commanded 1
continue 2
control 1
crossed 1
crown 1
cup 1
customs 2
dangers 1
dark 1
deadly 1
death 2
defeats 1
despite 1
didnt 1
die 1
directions 1
eaters 2
either 1
eleven 1
enter 2
escape 1
except 1
explosive 1
fight 1
filli 2
finally 1
find 4
fire 2
followed 1
for 5
fourth 1
free 1
from 1
future 1
gem 1
gets 1
girl 1
gives 1
glowing 2
had 4
has 1
have 2
he 1
head 1
hear 1
help 1
here 1
hiding 1
him 2
hira 1
home 1
homophone 3
horse 1
housed 1
huge 1
ichabod 1
in 3
inhabitants 1
instant 1
into 3
is 4
it 3
jasmine 5
keeps 1
kill 1
king 1
kitchen 1
labeled 1
lake 1
leave 1
legs 1
lief 12
life 1
lights 1
like 1
listen 1
live 1
located 1
lost 1
managed 3
mistakes 1
move 2
much 1
muddlets 4
named 1
no 2
noradz 5
noradzeer 1
not 1
now 1
of 21
often 1
on 3
one 1
only 1
opal 4
or 3
out 3
overrun 1
own 1
passing 1
past 1
people 2
pick 1
prepared 1
prison 1
provisions 1
quest 2
rakacharz 4
ran 1
rat 1
ratcatchers 1
rats 8
reached 1
realized 2
realizes 1
realizing 1
reeah 3
remaining 1
remembers 1
repeated 1
retrieved 1
revealed 1
ridden 1
river 2
ruby 1
sands 2
say 1
searching 1
secret 1
seek 1
set 1
shifting 2
shirt 1
shop 1
shows 1
signs 1
sinking 1
snake 2
starts 1
stole 1
such 1
survive 1
take 2
tears 1
thaegan 1
that 9
the 46
their 6
them 5
themselves 1
then 1
there 2
they 12
three 4
through 2
thrown 1
tira 1
to 14
tom 3
touches 1
trap 2
trapped 1
trash 1
travelling 1
tricks 1
trio 2
true 1
tube 2
two 1
up 1
use 1
useful 1
using 2
very 1
vigorously 2
vision 2
voices 1
waiting 1
was 4
water 2
way 3
wearing 1
went 1
were 2
when 1
which 4
while 1
with 1
word 1
written 1
wrong 1
