9804474
/m/02psqsv
/m/02psqsv
Victor Pelevin
1992
143 1
18day 1
a 20
abandoned 1
academy 3
acepilot 1
activate 1
after 3
again 1
against 1
alexey 1
all 3
along 1
amputated 1
amputation 2
an 3
and 11
apart 1
are 2
as 5
astronauts 1
at 2
automated 1
badly 2
be 4
beacon 2
becomes 1
been 1
before 1
beginning 1
behind 1
being 3
below 1
bicycle 1
bildungsroman 1
book 3
born 1
both 2
break 1
building 1
but 3
by 3
cadets 1
can 2
capable 1
career 1
carefully 1
champion 1
charade 1
chase 1
childhood 1
clue 1
cold 1
comes 1
coming 2
comingofage 1
concerning 1
concerns 1
confines 2
consciousness 1
consists 1
conspiracy 1
continues 1
control 1
correction 1
cottonfilled 1
course 1
crash 1
create 1
cultural 1
deliver 1
demands 1
desperate 1
despite 1
deteriorated 1
devices 1
different 1
does 2
dogfight 1
drive 1
driving 1
during 1
early 2
earth 1
enrolls 1
escape 1
even 3
events 1
exercise 1
experienced 1
explains 1
exploration 1
exposes 1
extent 1
fact 3
famous 1
feet 1
fighter 1
find 1
finds 2
finishing 1
first 1
flying 1
for 5
formed 1
free 2
friend 1
from 3
fulfill 1
future 1
given 3
gravity 1
gun 1
had 2
happens 1
have 1
he 11
head 1
headquarters 1
hermetically 1
hero 1
heroism 2
high 1
him 4
himself 4
his 15
holds 1
however 1
hydrocompensatory 1
idea 3
ideological 1
if 1
ignoring 1
ii 1
immediately 1
in 18
indeed 1
injured 1
injuries 1
inside 2
installation 1
instead 1
intentional 1
interstellar 1
into 4
is 10
it 4
its 1
journey 1
june 1
juxtaposes 1
kgb 1
knee 1
knows 1
krivomazov 1
landing 1
landscape 1
last 1
later 1
latter 1
launched 1
launching 1
leaves 1
legs 1
life 1
like 1
long 1
lunar 1
lunokhod 3
machines 1
managed 1
manages 1
manifest 1
manipulated 1
manner 1
maresyev 1
master 1
meaningless 1
meant 1
mentioned 1
met 1
metro 1
might 1
military 2
misfires 1
mission 3
moon 4
moscow 3
much 1
must 1
namely 1
narrated 1
nearly 1
never 1
no 1
nominally 1
normal 1
nose 1
not 4
novel 1
of 22
omon 5
on 4
once 1
one 3
only 2
or 2
order 1
ordered 1
organizers 1
out 1
overcoat 1
own 1
party 1
peaceful 1
pecularities 1
pelevin 1
people 2
perception 1
performed 1
person 2
piece 1
pilot 1
pilots 1
placing 1
plane 1
point 1
postsoviet 1
postworld 1
prefers 1
preparing 1
probe 1
prosthetic 1
protagonist 1
protection 1
purpose 1
puzzle 1
question 1
radio 1
real 1
reality 2
realization 1
reference 1
reprinted 1
researching 1
return 2
returning 1
rigid 1
rocket 1
school 2
sealed 1
seat 1
seems 1
separation 1
series 1
shoot 1
significant 1
signs 1
so 3
society 1
soon 2
soviet 4
sovietcontrolled 1
space 3
special 1
specific 1
stage 1
start 1
state 1
states 1
stations 1
story 1
strapped 1
strikes 1
stuffed 1
subjected 1
subjects 1
substitute 1
subway 1
succeeded 1
success 1
such 2
surface 1
tampons 1
tasks 1
teachers 1
teenage 1
territory 1
that 9
the 53
their 1
theories 1
they 2
this 4
though 3
time 1
to 25
told 1
topsecret 1
tracing 1
trained 1
treacherous 1
trials 1
tries 1
true 2
tunnel 1
under 1
union 1
united 1
unmanned 1
up 2
vacuum 1
vehicle 1
version 1
war 1
was 1
way 1
when 2
where 2
whereabouts 1
which 2
whisked 1
who 1
with 4
works 1
world 1
year 1
years 2
