61172
/m/0glpp
/m/0glpp
Fannie Hurst
1933
{"/m/05hgj": "Novel"}
110s 1
20thcentury 1
a 17
about 1
accident 1
after 1
all 1
america 1
american 1
an 1
and 16
appearance 1
are 1
as 3
assumes 1
at 1
atlantic 1
attempts 2
avoid 1
aware 1
away 2
b 3
bea 9
becomes 2
benjamin 2
between 1
black 2
blackness 1
boarder 1
boarders 1
boardwalk 1
brings 1
builds 1
business 2
by 3
capitalizes 1
cards 1
care 1
causing 1
chain 2
chipley 2
city 1
comes 1
confining 1
continually 2
daughter 3
decide 1
defray 1
delilah 7
develop 1
disabled 1
doortodoor 2
dozen 1
dying 1
early 1
eight 1
ending 1
entering 1
equally 1
eventually 2
expenses 1
falling 1
father 5
fend 1
figure 1
first 1
flake 3
for 4
frank 1
from 1
girl 1
grown 1
have 1
her 13
herself 1
highly 1
him 1
hires 1
his 1
home 1
house 1
hurst 1
identity 1
in 11
incapacitating 1
infant 3
intent 1
international 1
is 10
jessie 3
junior 1
just 1
keep 1
ketchup 1
killed 1
last 1
late 1
leaving 1
left 1
lightskinned 1
long 1
look 1
love 2
mammy 1
man 2
manager 1
maple 2
marries 1
marry 2
master 1
meantime 1
medical 1
mired 1
mother 1
mousey 1
moves 1
mr 1
named 1
nationwide 1
not 1
novel 1
now 1
of 5
on 5
open 1
or 1
pages 1
pain 1
pained 1
painfully 1
pass 1
passes 2
peddles 1
peola 4
planning 1
pregnant 1
pride 1
pullman 8
quiet 1
race 1
racial 1
relations 1
relish 1
restaurant 1
restaurants 1
resulting 1
sales 1
school 1
seattle 1
selling 1
sells 1
sense 1
severs 1
sexism 1
she 3
shortly 1
should 1
side 3
single 1
skills 1
slowly 1
so 1
story 1
striking 1
stroke 1
successful 1
such 1
suffers 1
syrup 2
takes 1
teenage 1
teens 1
tension 2
that 2
the 10
then 1
thereafter 1
three 1
ties 1
to 11
too 1
trade 1
tragic 1
train 1
triangle 1
ubiquitous 1
up 1
using 1
visit 1
waffle 1
wafflemaker 1
wheelchair 1
which 1
white 3
who 3
whose 1
with 2
within 1
year 1
years 1
young 1
