4380177
/m/0b_4v6
/m/0b_4v6
Harry Turtledove
2000-08-01
117 2
a 4
able 1
advance 1
advantage 1
after 2
america 1
an 2
and 6
arkansas 1
armistice 2
as 5
ask 1
back 1
barrel 1
be 1
been 1
began 1
both 1
britain 1
by 2
city 1
close 1
condition 1
confederate 3
costly 1
country 1
csa 1
custer 1
cut 1
dc 1
decisive 1
destroyer 1
dire 1
drawing 1
east 1
endless 1
europe 1
finally 1
first 1
food 1
for 2
forced 1
forces 2
french 1
from 3
gain 1
george 1
granted 1
great 2
had 1
has 1
important 1
in 5
issue 1
its 1
july 1
kentucky 1
land 1
late 1
leveling 1
lines 1
losing 1
lost 1
money 1
move 1
much 1
mutiny 1
nashville 1
of 3
off 1
offensive 1
oklahoma 1
one 1
parts 1
process 1
proved 2
rebel 1
red 1
remain 1
resist 1
revolution 1
roll 1
rose 1
russia 1
seemingly 1
sequoyah 1
shipments 1
slowly 1
soldiers 1
sonora 1
south 1
stalemate 1
states 3
submarine 1
such 1
sunk 1
take 1
texas 1
that 2
the 17
though 1
to 7
torpedoed 1
towards 1
two 1
unable 1
underwent 1
united 1
unresolved 1
us 4
usa 1
uscs 1
very 1
virginia 1
war 3
was 6
washington 1
weak 1
well 1
were 2
would 1
years 1
