11013569
/m/02qy2p6
/m/02qy2p6
Julie Bertagna
2002-08
15yearold 1
20th 1
2100 1
a 25
able 1
about 2
above 3
accidentally 1
actually 1
adaptation 1
after 1
against 1
air 2
all 2
allow 1
allowed 1
allowing 1
almost 1
along 1
also 2
an 5
ancient 1
and 15
are 7
as 2
at 1
attempts 1
bad 1
be 1
beauty 1
because 2
become 1
before 1
begin 2
behind 1
believes 1
best 1
beyond 1
board 1
boat 2
boats 2
bodies 1
bone 1
book 3
break 1
breed 1
but 4
by 2
caledon 2
called 3
camp 2
can 4
cap 1
catch 1
caused 1
century 1
children 1
chosen 1
city 8
commit 1
computer 1
computers 1
connection 1
cork 1
couldnt 2
crashing 1
creator 1
creature 1
currently 1
cyberwizz 1
dagger 1
david 3
day 1
demands 1
determined 1
die 1
discovers 1
doll 1
down 2
drown 1
drowned 3
elder 1
ends 1
enter 1
entertainments 1
entrance 1
escape 1
eventually 1
evoluted 1
excited 1
executing 1
exodus 1
exploring 1
face 1
fallen 1
family 1
far 1
fatally 1
feeling 1
fellow 1
few 1
find 1
finishes 1
first 1
fishing 1
for 3
forbidden 1
forced 2
fox 3
free 2
friend 2
friends 1
from 3
gadget 1
gail 1
gates 1
generation 1
glasgow 1
go 3
gorbals 3
grandfather 1
grandson 1
greenland 2
hairy 1
hands 1
hardworking 1
has 3
have 2
he 2
help 2
helping 1
helps 1
her 9
high 2
him 1
his 2
home 1
hope 1
how 1
huge 1
ice 1
if 2
immediately 1
in 12
including 1
information 1
intelligence 1
into 1
involves 1
is 13
island 2
it 2
its 1
join 1
journey 1
jutting 1
killed 1
know 1
known 1
land 2
language 1
laptoplike 1
learn 1
learns 1
leave 4
level 1
like 1
live 1
lives 2
loses 1
love 1
man 1
manages 1
many 2
mara 11
massacre 1
meets 3
melting 1
messiah 1
more 1
movie 1
mungo 4
must 1
mysterious 1
names 1
navigates 1
needed 1
netherworld 3
new 8
noos 2
not 3
now 1
occasionally 1
of 16
old 1
on 1
once 1
one 2
only 1
organize 1
out 1
outer 1
outside 1
overwhelmed 1
part 1
pass 1
people 5
perilous 1
pickings 2
place 4
plan 2
police 4
procedure 1
programmed 1
prophecy 1
quiet 1
raised 1
reach 3
realize 1
realizes 1
rebellion 2
recognise 1
refugee 2
refugees 1
release 1
rescues 1
rex 1
right 1
rise 1
risen 1
roofs 1
safety 1
save 3
saving 1
scheduled 1
screenplay 1
sea 3
searching 2
see 1
shadow 1
shallow 1
she 17
ship 1
shoreline 1
sky 4
skycity 1
slaughtered 1
slaves 2
slide 1
slides 1
sneaks 1
some 3
special 1
spy 1
stabs 1
stay 1
stone 2
strange 1
strong 2
suicide 1
superficial 1
supply 1
surrounds 1
survive 1
take 1
taken 1
takes 1
telling 1
tells 1
test 1
that 5
the 58
their 2
them 4
themselves 1
then 3
there 2
they 12
this 2
thought 1
through 3
time 1
to 24
together 1
tony 1
too 1
treenester 1
treenesters 1
twilight 1
under 1
unfair 1
uniform 1
university 1
unnoticed 1
up 2
urchin 1
urchins 1
vents 2
version 1
villagers 2
virtual 1
virus 1
wall 1
walls 1
was 1
water 1
way 1
web 1
webbed 1
welcoming 1
when 1
where 3
which 1
while 3
who 5
whole 1
whom 1
wide 1
wild 1
will 3
wing 4
with 14
without 1
woman 1
wondering 1
worker 1
world 4
would 1
year 1
yet 1
