32581076
/m/0h1bst6
/m/0h1bst6
Pittacus Lore
2011-08-23
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature"}
10 1
a 24
abduction 1
ability 1
able 1
about 3
acknowledges 1
actually 2
adapt 2
additional 1
address 3
adelina 7
admits 1
aeternus 1
after 6
age 2
ahead 1
airport 1
aka 1
alien 1
all 2
allow 1
allows 1
almost 1
along 2
already 1
also 1
although 1
am 2
among 1
an 3
and 52
annoyed 1
another 4
any 1
anyone 1
are 9
arrived 1
arrives 1
as 3
asks 2
assigned 1
assist 1
at 12
attempt 1
attitude 1
away 3
back 1
band 1
barely 1
battle 3
be 3
because 5
becomes 1
been 2
before 2
begin 2
beginning 1
begins 1
belong 1
belongs 1
bernie 1
birthday 1
blend 1
blush 1
book 1
both 1
briefly 1
brought 1
but 12
by 6
calls 1
came 1
can 2
carried 2
cave 1
change 1
checks 1
cheek 1
chest 9
children 1
chimra 1
choice 1
community 1
confused 1
controlling 1
convent 1
conventorphanage 1
conversation 1
convinces 1
correct 1
cpan 2
crayton 3
create 1
crush 4
cry 1
decide 2
decides 2
decipher 1
defeat 2
defeated 1
denies 1
departs 1
determined 1
dies 1
dislikes 1
displayed 1
does 2
dot 1
down 1
driver 1
driving 3
drop 1
drugs 1
each 1
earth 4
eighteenth 1
elders 1
elements 1
ella 5
emily 2
end 3
ensues 1
escape 3
eventually 1
expires 1
explains 1
explodes 1
failing 1
fair 1
far 1
fate 1
father 6
fbi 2
feelings 2
few 1
field 1
finally 1
find 5
finds 1
fire 1
first 1
five 1
florida 1
follow 1
for 9
force 2
forces 1
four 36
friends 3
from 4
gale 1
garde 5
given 1
gives 1
go 3
goes 1
going 2
good 1
goodbye 2
greatly 1
group 3
had 1
hadley 1
has 12
have 2
having 1
hctor 1
he 10
head 4
heard 1
help 2
helps 3
henri 2
her 18
heroic 1
herself 1
hidden 1
hides 1
hiding 1
him 7
himself 2
his 11
home 1
hope 1
hopes 1
hour 1
house 1
hug 1
human 1
i 2
if 1
ignored 1
in 24
insomnia 1
instantly 1
into 1
introduced 1
invisibility 2
is 18
it 6
item 1
items 2
john 5
kill 1
kiss 3
kisses 1
knows 2
kosar 1
late 1
later 2
learn 1
learning 1
learns 1
leave 2
left 3
legacy 5
legendary 1
letter 2
license 2
life 2
liked 1
lips 1
list 1
lived 1
lives 1
living 1
location 1
loric 1
lorics 1
lorien 3
love 2
loves 1
main 1
makes 1
man 1
many 1
map 1
marina 11
may 1
meaning 1
meant 1
meet 1
meets 2
member 1
members 3
mogadorian 1
mogadorians 7
months 1
morphs 1
most 1
motel 1
named 2
need 1
news 1
next 1
night 2
nine 6
no 1
north 1
not 4
now 1
number 10
numbers 1
nun 1
occur 1
of 15
off 2
officer 1
on 8
once 1
one 2
only 4
open 2
opening 1
opens 1
or 1
order 1
orphanage 1
other 6
out 3
over 1
papers 1
paradise 1
passionate 1
persuade 1
phone 1
plate 2
pocket 1
point 1
police 1
policeman 1
pool 1
power 1
prisoners 2
private 1
process 1
pulled 1
pulls 1
pursuers 1
push 1
puts 1
reach 1
realizes 3
receive 1
red 1
refuses 2
religious 1
remain 2
rendezvous 3
repeatedly 1
replace 1
rescue 2
resolve 1
retrieve 2
return 2
reunion 1
revealed 1
right 2
rising 1
road 1
run 1
sacrifices 1
sam 24
santa 5
sarah 7
save 1
saves 1
say 2
says 2
school 3
screaming 1
searches 1
searching 2
second 1
secretly 1
separates 1
seven 10
sevenyearold 1
share 2
she 19
ship 1
short 1
shows 3
since 1
six 21
sleep 1
smith 1
so 3
solar 2
some 2
something 1
spain 3
speculates 1
split 1
start 1
stay 1
stone 1
story 2
substitute 1
success 1
suffering 1
supposed 1
surviving 1
system 2
tablet 1
take 1
takes 1
taking 1
teach 1
tells 5
ten 5
tennessee 2
teresa 5
texting 2
than 1
that 25
the 61
their 7
them 8
then 2
there 2
they 19
think 1
thinking 1
thinks 1
those 1
thought 1
through 2
time 1
to 59
together 1
told 1
too 2
touches 1
tracked 1
training 1
transfer 1
transmitter 1
tried 1
tries 2
try 1
turn 1
two 1
unable 1
unaware 1
unite 1
unnoticed 1
unseen 1
until 1
up 5
upon 2
uses 4
various 1
vehicle 1
virginia 3
wakes 1
walk 1
want 1
wanted 1
wants 1
was 2
ways 1
weeks 1
went 1
west 3
what 1
when 6
where 2
which 5
while 4
who 9
why 1
will 3
winds 1
with 14
without 1
worry 1
wrongs 1
xlitharis 1
years 1
