3390889
/m/0993hc
/m/0993hc
Pierre Christin
1972

a 32
according 1
action 1
after 1
again 1
against 1
agents 1
agree 1
airless 1
airships 1
alarmed 1
alcohol 2
alcoholic 1
algae 1
all 4
allow 1
almost 1
along 1
alzafar 7
an 4
and 42
animals 1
another 1
apart 1
apartments 1
are 17
around 1
arriving 1
as 4
aside 1
assisting 1
astonished 1
astroship 4
at 8
attack 1
attacked 1
attacker 1
attempt 1
aware 1
away 1
back 4
barracks 1
barren 1
battle 2
battles 2
be 2
beautiful 1
beauty 1
because 1
becomes 1
been 1
before 3
begin 1
being 1
best 1
between 2
beverage 1
bloody 1
board 1
bombing 1
booze 1
both 1
bring 2
bringing 1
brought 1
but 1
by 7
calling 1
calm 1
camp 1
can 1
canals 1
cargo 1
carrier 1
caught 1
caused 1
causing 1
chauvinistic 1
checks 1
children 1
cities 1
city 5
claims 1
cleaning 1
collapse 1
collecting 1
collision 1
colonists 3
colony 1
combat 1
come 1
comes 1
company 2
competition 1
complete 1
completed 1
conflict 1
conscripts 1
considerable 1
contact 1
contest 1
cooking 2
course 3
court 1
crossbow 1
curiosity 1
danger 1
day 1
dead 1
deal 1
decide 2
declares 1
delighted 1
delivers 2
describe 1
deserted 1
despite 1
destroys 1
detonating 1
detonation 1
devices 1
differences 1
discover 2
dismantled 1
distilled 1
disturbed 1
dive 1
divisions 1
do 3
down 2
drifting 1
drink 2
drugs 1
drunk 2
during 1
duties 1
each 1
elements 1
elsewhere 1
elytron 1
elytrons 1
emerge 1
emerging 1
emperor 10
end 1
engaged 1
enjoy 1
enter 1
entering 2
enters 1
entry 1
evacuate 1
ever 1
everyone 2
except 1
executes 1
explains 2
exploring 2
explosive 1
faint 1
falling 1
falls 1
farewell 2
favorite 1
female 1
femininity 2
few 1
fifth 1
fight 2
fighting 2
find 3
finds 1
first 2
flagship 2
fleet 3
flogum 1
flogums 5
flying 1
follow 1
for 4
forbidden 2
formidable 1
fortifications 1
four 1
from 8
gains 1
galaxity 2
gardens 1
gather 1
gathered 1
get 1
gets 1
given 1
gives 1
go 1
grabs 1
great 1
group 2
harem 1
has 3
hatches 1
have 1
he 7
her 4
himself 2
his 4
hollow 1
homemade 1
honour 1
hope 1
horrified 1
house 1
houses 2
human 1
hypnotic 1
i 1
ii 1
iii 2
impress 1
in 19
including 1
inferior 1
inhabitants 1
insects 1
inspection 1
instruction 1
instructions 1
intensive 1
into 4
intoxicated 1
introduces 1
invited 1
invites 1
is 29
it 5
its 2
iv 1
job 1
join 1
jump 1
jumping 1
jumps 1
kidnap 1
klopka 6
knocks 1
lady 1
lakes 2
land 1
landing 2
last 1
later 3
launch 5
laureline 18
leading 1
led 1
lemm 6
lifeless 1
light 1
like 1
locals 1
looking 1
machinery 1
made 1
makes 4
making 2
malka 8
man 1
manages 1
many 1
marriages 1
married 1
matriarchy 1
measuring 1
meeting 1
meets 1
men 9
mess 2
military 1
mission 1
monarchs 1
moon 2
must 1
mutahar 2
nadjika 1
natural 1
near 1
new 1
no 2
nomads 1
not 1
notices 1
now 3
nucleus 1
observatory 1
of 39
off 5
offered 1
old 1
on 15
once 1
one 5
only 2
onto 1
open 2
orbit 2
order 1
other 4
out 3
outside 2
over 1
own 1
pair 2
palace 5
palaces 1
panic 1
parts 2
pass 2
people 2
peril 1
persuades 1
perversion 1
phosphorescent 1
pilot 1
piqued 1
place 2
plan 1
planet 9
planets 1
possible 1
proceeding 1
products 1
promising 1
prove 1
provided 1
pulled 1
pulling 1
put 3
queen 4
radio 1
ravishing 1
reaches 1
reaching 1
realise 1
realises 1
rear 1
reception 1
refusing 1
reproductive 1
resplendent 3
rest 1
resting 1
returning 2
riders 1
ridge 1
right 2
rips 1
rock 1
rocked 1
rocky 1
rogue 1
round 2
ruled 1
run 1
safe 1
same 2
sample 2
save 2
saves 1
searching 1
seconds 1
section 1
see 4
sell 1
sent 1
series 1
settled 1
settlers 1
several 1
sewer 1
shadow 1
she 2
shine 1
ship 4
ships 2
shocked 1
shoots 1
show 1
side 1
sides 1
sight 1
since 2
singing 1
situation 1
sleeps 1
small 1
so 1
society 1
soldiers 1
some 2
somewhat 1
soon 2
space 1
spacetime 1
spatiotemporal 1
spectacle 1
speech 4
split 1
spotted 1
stars 1
stop 1
straight 1
strange 1
streets 2
stumbles 1
stunner 1
successful 1
such 1
suddenly 2
sumptuous 1
sun 1
supreme 2
surface 1
surprised 1
survive 1
surviving 1
swoops 1
system 4
takes 5
taking 3
tell 1
tells 1
that 13
the 135
their 5
them 8
then 2
there 4
they 22
thing 1
this 3
those 1
through 6
throws 1
time 4
to 48
together 2
tour 1
trade 1
training 1
travel 1
travelling 1
travels 2
try 1
tumble 1
two 3
ukbar 10
understand 1
unharmed 1
universe 2
unlike 1
up 5
use 1
uses 1
valrian 30
valsennar 11
via 1
view 1
virility 3
wandering 1
war 7
way 5
weapons 1
weaving 1
what 1
when 5
where 2
which 1
while 4
who 4
wildly 1
will 1
wind 1
wing 1
winner 1
with 17
women 5
work 3
world 1
zahir 7
zahirian 1
zahirians 1
