21799886
/m/05mzt7l
/m/05mzt7l
Sherman Alexie
2007-03-28
a 11
abbad 2
actions 1
advancing 1
affair 1
affect 1
after 1
against 1
agent 1
also 1
an 2
and 13
another 1
as 3
at 3
attack 2
back 2
bank 2
battle 1
becomes 2
been 1
begin 1
begins 3
believes 1
best 1
body 3
bow 1
boy 5
brings 1
brother 1
by 2
camp 1
can 1
carry 1
catches 1
cavalry 2
character 3
characters 1
chest 1
commit 1
corpse 1
could 1
crime 2
custer 1
dave 3
different 1
do 1
does 1
doing 1
door 1
down 1
during 1
end 1
ends 1
escape 1
eventually 1
fallen 1
family 1
father 5
fbi 1
feels 1
figure 1
finally 3
finds 1
fire 1
first 1
flashback 1
flight 1
fly 1
for 3
forced 1
forces 1
foster 2
from 2
general 1
gets 1
gus 4
hank 2
has 3
he 18
head 1
help 1
helps 1
him 6
himself 2
his 18
historical 2
home 2
house 1
how 1
hunt 1
in 10
indian 4
indians 3
innocent 1
into 4
involved 1
iron 1
is 12
jail 3
jimmy 3
just 1
justice 3
kill 1
knowing 1
knowledge 1
known 1
last 1
lead 1
leaving 1
left 1
life 1
liking 1
lobby 1
love 1
many 2
meeting 1
meets 1
mom 1
more 1
mother 1
mute 1
muteness 1
new 2
next 2
not 2
of 1
off 1
offered 1
officer 3
on 2
once 2
opening 1
out 4
over 1
own 3
partner 1
people 2
perceives 1
pilot 1
plane 1
ready 1
real 1
realizes 1
realizing 1
reinhabits 1
released 1
revenge 1
runs 1
saint 1
sending 1
sends 1
shoot 2
shot 1
shoves 1
slash 1
small 2
soldier 1
son 1
stand 1
standing 1
staring 1
stay 1
storm 1
suicide 1
take 1
taken 1
takes 3
teaches 1
terrorist 1
than 1
that 4
the 16
their 1
them 1
these 1
they 1
this 2
throat 1
thrown 1
time 2
to 22
told 1
track 1
tracker 1
trained 1
training 1
transforms 2
trust 1
trying 2
two 1
ultimately 1
under 1
understand 2
up 3
using 1
waking 1
walks 1
wall 1
was 1
watches 1
what 1
when 2
where 1
while 4
white 1
who 2
why 1
wife 1
wing 1
with 5
witness 1
witnesses 2
yet 1
young 1
zits 16
