21270123
/m/05f61zb
/m/05f61zb
Wilkie Collins
1872
a 14
abroad 2
after 3
again 1
also 1
america 2
an 2
and 20
another 1
appealing 1
are 2
arranged 1
arrives 1
as 8
at 1
attacked 1
attempt 1
attending 1
aunt 1
away 2
awkward 1
bandages 1
be 2
become 1
becomes 1
been 2
before 1
begins 1
being 1
believes 1
believing 1
blind 2
blindness 3
blow 1
bluegrey 1
brother 4
but 4
by 6
can 1
career 1
change 1
character 1
charming 1
colours 1
companion 2
compound 1
conceal 1
conceives 1
condition 1
confident 1
conscience 1
content 1
continues 1
couple 1
cousin 1
craftsmanship 1
cure 1
dark 2
darkcomplexioned 1
daughter 1
debourg 1
decisively 1
denouement 1
despair 1
despite 1
detecting 1
detective 1
devoted 1
devotes 1
dies 1
diffident 1
dimchurch 2
disagree 1
disfigured 1
disfigurement 1
dissipated 1
distraught 1
dubourg 1
each 1
effective 1
elects 1
engaged 1
england 2
english 1
epilepsy 1
escapes 1
examine 1
examined 1
expedition 1
experiences 1
exposure 1
eyes 1
fails 1
falls 2
family 5
famous 1
father 1
fiance 1
fiancee 1
finch 1
find 1
for 2
forbids 1
fortune 1
french 1
friends 2
from 4
full 1
german 1
go 1
goes 1
gradually 1
grosse 6
has 5
have 1
he 8
head 1
held 1
help 2
her 24
herr 6
him 3
himself 1
his 12
home 2
house 1
if 1
immediate 1
immediately 1
imperil 1
in 10
including 1
independently 1
infancy 1
infatuated 1
instead 1
intervenes 1
into 2
is 12
it 1
jeopardized 1
kindly 1
knocked 1
knowing 1
knowledge 1
later 1
locates 1
lose 1
love 2
lucilla 15
madame 7
manipulates 1
marriage 1
marry 2
marseilles 1
meanwhile 1
meet 1
metals 1
might 1
name 1
narrator 1
neighbour 1
nerve 1
new 1
not 1
novel 1
now 1
nugent 7
nursed 1
oculist 2
of 11
off 1
offers 1
on 4
only 1
operated 1
operation 2
orders 1
oscar 14
outgoing 1
overstrains 1
paid 1
painter 1
penitent 1
people 1
perfectly 1
permanent 1
phobia 1
plan 1
plans 1
poison 1
polar 1
possible 1
pratolungo 7
precious 1
pressures 2
prisoner 1
prognosis 1
promises 1
pursuing 1
race 1
raise 1
reclusive 1
recognizes 1
recovery 1
rector 1
refuses 1
regains 1
resigning 1
respect 1
result 1
return 1
returns 3
revealed 1
robbers 1
seaside 1
secretly 1
servant 1
serve 1
settle 1
she 4
shock 1
shortly 1
shy 1
sideeffect 1
sight 1
silver 1
since 2
skin 1
soon 2
staying 1
still 1
stop 1
story 1
strength 1
suffers 1
supposed 1
sussex 1
taken 1
telling 1
tells 1
that 1
the 19
their 1
them 2
there 1
threatening 1
time 1
to 23
told 1
totally 1
tracks 1
treatment 1
true 1
trust 1
turning 1
twentyoneyearold 1
twin 1
two 1
unconscious 1
undeceiving 1
under 1
understanding 1
unexpected 1
violent 1
virtually 1
vision 1
wayward 1
wealthy 2
where 3
while 1
who 5
with 10
without 1
works 1
