184501
/m/0196h5
/m/0196h5
Cotton Mather

a 3
about 1
accused 1
actions 1
adds 1
after 2
against 1
agreed 1
all 1
among 1
an 2
and 7
are 2
army 1
as 2
be 2
begins 1
behavior 1
believes 1
boston 1
briefly 1
broke 1
came 1
carrier 2
center 1
children 1
church 1
churches 1
confessions 1
cotton 1
devil 3
devils 1
disclaimer 1
discusses 1
english 1
explaining 1
explanation 1
firstborn 1
from 1
gives 1
god 1
guilty 1
had 1
happened 1
he 3
hebrews 1
help 1
her 3
his 1
historian 1
horribly 1
how 2
in 2
included 2
is 3
living 1
many 1
martha 2
mather 4
names 1
narrator 1
of 16
one 2
our 1
overturn 1
own 1
people 2
person 1
place 1
plan 1
plantation 1
preacher 1
prefaces 1
presume 1
promised 1
queen 1
recount 1
recruits 1
rest 1
retell 1
second 1
serve 1
settlements 1
she 1
should 1
sort 1
strange 1
territories 1
testimonies 2
that 2
the 22
their 1
they 2
to 3
trials 5
truth 1
upon 1
was 1
which 3
who 1
whom 1
will 1
witch 1
witches 2
with 4
