30757387
/m/0gfhgcy
/m/0gfhgcy
Marion Chesney
2004
a 11
after 1
again 1
agatha 7
agathas 2
agency 2
agencys 1
aims 1
alibi 1
also 1
an 1
ancestral 1
and 8
applies 1
are 1
assertive 1
attitude 1
bomb 1
branch 2
but 3
by 2
calls 1
case 2
cassandra 1
cat 1
certified 1
charles 3
chief 1
coffee 1
colleagues 1
comfort 1
comfrey 1
computer 1
cottage 2
could 1
cracked 1
crush 1
damned 1
daughter 1
death 2
defence 1
detective 2
devious 1
disproves 1
divorces 1
dotty 1
dropout 1
drunken 1
emma 3
engages 1
escapes 1
exhusband 1
exwife 1
falls 1
felicity 3
felliet 2
female 1
finally 1
finds 2
first 1
for 1
fother 1
fraith 2
from 2
gassed 1
gets 2
goes 2
going 1
guard 1
harrison 1
has 7
he 3
her 9
him 1
hired 1
his 1
hitman 1
holiday 1
home 2
if 1
impersonate 1
in 9
incident 1
including 1
inspector 1
instead 1
into 1
investigation 1
ira 1
is 12
it 3
james 1
jealous 1
jeremy 3
jeremys 1
job 1
johnny 1
kill 2
kills 1
know 1
laceys 1
laggatbrown 3
laggatbrowns 1
later 1
love 2
met 1
ministry 1
mircester 1
missing 1
mrs 1
mulligan 2
murder 1
nature 1
nearly 1
neighbour 1
new 1
not 3
now 1
nudges 1
of 5
off 1
office 2
on 2
out 3
own 1
papers 1
paris 4
petersons 1
poison 1
poisons 1
police 1
popular 1
provincial 1
provisional 1
provos 1
rat 1
real 1
received 1
recover 1
relieved 1
retired 1
sabotages 1
says 1
second 1
secretary 1
setting 1
she 9
shoot 2
shot 1
sir 2
slighted 1
so 1
some 1
special 2
suicide 1
superglue 1
supplied 1
survived 1
suspect 1
target 1
terrorists 1
that 4
the 14
threat 1
timers 1
to 10
turns 2
unbalanced 1
uncharactistically 1
up 1
vindictive 1
waiting 1
wallet 1
wants 2
was 1
what 2
when 3
where 1
which 2
who 4
with 6
