1313643
/m/04s569
/m/04s569
Eliza Haywood

a 9
affections 2
after 1
agrees 1
all 1
allow 1
allowing 1
alone 1
alovisa 12
amena 11
amien 1
amorous 1
an 1
anaret 1
and 12
ansellina 2
apartment 1
are 2
as 3
at 1
attempts 1
attentions 1
awakens 1
away 1
bad 1
baron 2
be 1
been 1
before 1
begging 1
between 1
both 2
brillian 2
brother 2
but 1
by 4
camilla 2
care 1
charlo 1
charlotta 1
chaste 1
chevalier 2
choice 1
ciamara 1
climax 1
competition 1
compromised 1
concludes 1
conducted 1
continue 1
convent 2
conversation 1
countryside 1
course 1
court 1
custom 1
daughter 1
dead 1
deals 1
death 1
decision 1
declaration 1
definite 1
delmont 20
designs 1
desire 1
details 1
discovers 1
disparate 1
during 1
eliciting 1
end 1
endlessly 1
ends 2
entrusted 1
eventually 1
express 1
fallen 2
falling 1
falls 1
father 2
feigns 1
first 2
flee 1
for 5
forbidden 1
forbids 1
forces 1
formally 1
frankville 3
friend 1
from 2
girl 2
good 1
happens 1
has 3
have 1
he 1
help 3
helps 1
her 3
him 1
his 4
hopes 1
household 1
however 1
important 1
in 17
inadvertently 1
intervention 1
is 3
it 1
italy 4
kidnapped 1
kidnapper 1
leads 2
left 1
letter 1
letters 1
love 6
loved 1
loving 1
lusty 1
made 1
make 1
marriage 2
marry 2
matches 1
meantime 1
meanwhile 2
meet 4
meeting 1
melliora 7
mentioned 1
mistakenly 1
motivations 1
mutual 1
narrator 1
nearly 1
night 1
not 1
novel 1
of 11
off 1
one 1
or 1
pair 3
part 5
permitted 1
plot 1
possible 1
proposal 1
proposed 1
raping 1
receive 1
refuses 1
residence 1
resides 1
resisting 1
respective 1
response 1
results 1
revealed 1
scene 1
second 3
sees 1
selfexile 1
sent 2
servant 2
she 1
ship 1
sister 1
sisterpair 1
slips 1
soon 1
specifically 1
status 1
subterfuge 1
suitor 1
survivors 1
that 2
the 34
their 3
them 1
theme 1
third 1
thoughts 1
to 21
true 1
tuileries 1
two 4
unbeknownst 1
unsigned 1
until 1
up 3
upperclass 1
via 1
violetta 1
was 1
wealth 2
were 1
when 1
which 6
who 4
wife 1
with 11
without 1
woman 3
women 4
writes 1
yearning 1
young 1
