16813732
/m/040753k
/m/040753k
Lualhati Bautista
1988
{"/m/02xlf": "Fiction"}
a 9
about 1
actually 1
adulthood 1
also 1
an 2
and 7
another 1
as 2
audience 1
away 1
back 1
because 1
becoming 1
began 1
beginning 2
beings 1
both 3
boundaries 1
boyhood 1
but 1
came 2
celebration 1
change 1
changes 1
chapter 2
children 5
choose 1
come 1
connection 1
consumes 1
could 1
crossing 1
curiosity 1
daughter 1
day 4
decide 1
decided 1
decision 1
delivered 1
discusses 1
else 1
embrace 1
end 2
event 1
every 1
everything 2
evolves 1
experienced 1
fast 1
fathers 1
fear 1
final 1
for 3
forced 1
former 1
friends 1
from 3
gender 1
go 1
going 1
gradual 1
graduation 3
grow 1
growingup 1
guestofhonor 1
held 1
her 8
him 1
how 3
human 2
husband 1
in 7
introductory 1
is 2
it 1
itself 1
kindergarten 1
lea 6
leas 5
leaves 1
life 4
losing 1
main 1
mature 1
maya 1
mayas 1
message 1
more 2
needed 1
never 1
not 1
novel 1
novels 1
obvious 1
of 8
ojie 2
on 1
opposite 1
organization 2
personalities 1
persons 1
persuade 1
program 1
progress 1
quickly 1
rights 1
scene 1
see 1
she 2
smoothly 1
so 1
speech 1
spend 1
states 1
stay 1
students 1
take 1
teenage 1
that 4
the 16
their 2
them 2
there 1
time 2
to 10
topic 1
transformation 1
united 1
upon 1
volunteer 1
volunteering 1
was 6
ways 1
were 3
when 2
where 1
while 1
will 1
with 7
work 2
