17612767
/m/0463b93
/m/0463b93
Harry Harrison

a 8
after 1
air 2
all 1
almost 1
also 1
although 1
and 8
apparent 1
are 1
aspects 1
breathable 1
briggs 2
but 1
by 8
cap 1
captain 2
carried 1
chase 5
chief 1
collapses 1
colleagues 1
content 1
crew 4
criticised 1
cure 1
deadly 1
defeated 1
disease 1
docked 1
donald 1
down 1
dr 1
enables 1
eventually 1
exhaustion 1
faced 1
familiar 1
find 1
finds 1
force 1
from 1
general 1
genius 1
had 2
has 3
he 2
help 1
helped 1
highestranked 1
him 1
himself 1
his 3
hit 1
hospital 1
however 1
imprisoned 1
in 2
is 5
it 1
johannes 1
junior 1
kepler 1
killing 1
kurikka 2
lieutenant 1
liner 1
loss 1
loyalties 1
mars 1
mathematical 1
mathew 1
medical 2
member 1
members 1
meteorite 2
methods 1
mexican 1
much 1
navigate 1
new 1
occupants 1
of 7
officer 2
on 1
once 1
only 1
others 1
out 1
over 1
overthrows 1
oxygen 1
passenger 3
petty 1
plague 1
presented 1
pretended 1
recovering 1
resulting 1
routine 1
running 1
safely 1
scientist 1
senior 1
shift 1
ship 6
shortage 1
situation 1
solves 1
some 1
stabilised 1
struck 1
surviving 1
take 1
technical 1
that 1
the 21
to 4
trip 1
turns 1
ugalde 3
using 1
various 1
water 1
who 2
whose 1
with 3
