7734089
/m/026b9dn
/m/026b9dn
Gustav Hasford
1990-02
{"/m/012jgz": "Autobiographical novel", "/m/014dfn": "Speculative fiction", "/m/098tmk": "War novel"}
8 1
a 19
abandoned 1
about 1
accompany 1
actions 1
active 1
after 2
against 2
alabama 1
alive 1
all 1
alongside 1
also 1
america 1
american 3
among 1
an 8
and 18
animal 2
antiwar 1
any 1
are 1
armed 1
army 1
arrives 1
arriving 1
as 5
at 5
attack 2
attempt 2
attend 1
away 1
back 1
base 2
be 2
become 2
been 5
before 1
begins 3
begun 1
behavior 1
being 1
beings 1
believes 1
believing 1
best 1
blames 1
blooper 3
body 1
brief 1
broken 1
but 4
by 7
california 1
camp 2
captive 1
captors 1
captured 2
cause 1
chance 2
charlie 1
choppers 1
clear 1
cong 7
convalescing 1
converted 1
cop 1
country 1
countrymen 1
courtmartial 1
cowboy 4
cut 1
dead 1
deaths 1
degree 1
demonstration 1
demoted 1
despite 1
discarded 1
discharge 1
disgust 1
disillusionment 1
divided 1
does 2
donlon 1
down 2
draw 1
duty 1
enemy 1
ensuing 1
erratic 1
escape 2
escaped 1
even 1
expresses 1
family 1
farm 1
fight 1
fights 1
finally 1
finds 1
fired 1
firefight 1
flesh 1
fool 1
for 3
forcefully 1
forces 1
friend 1
from 4
futile 1
genuinely 1
given 1
grenade 2
growing 1
guard 1
hand 1
has 7
haunted 1
have 1
having 2
he 18
heavy 1
help 1
here 1
hiding 1
him 4
himself 1
his 16
hold 1
home 2
hospital 1
however 1
human 1
in 13
inattentive 1
increasingly 1
indestructible 1
into 2
is 12
it 1
japan 1
joker 11
jungle 1
just 1
kansas 1
keep 1
khe 2
kill 1
killed 3
last 1
later 2
launcher 1
learns 1
left 2
life 1
like 1
live 1
living 1
losses 1
m7 2
make 1
makes 1
manages 2
marine 1
marines 2
meeting 1
memory 1
mind 1
more 2
most 1
mother 2
naval 1
never 1
next 2
night 1
not 3
nothing 1
novel 1
of 10
off 1
on 3
one 2
or 1
order 1
ordinary 1
out 5
outrage 1
over 1
overrun 1
parents 1
parts 1
passes 1
passing 1
people 1
phantom 3
pin 1
platoon 1
police 1
position 1
pow 2
previous 1
private 1
process 1
protester 1
proud 1
psychiatric 1
quickly 2
radioman 1
razor 1
reaches 1
realizing 1
recovered 1
regret 1
rescue 1
result 1
return 1
sanh 2
search 1
section 1
seeing 1
seemingly 1
sent 3
sergeant 2
served 1
sets 2
shoot 1
shooting 1
shorttimers 1
shot 1
side 1
siege 1
slip 1
small 1
sniper 1
soldier 1
soldiers 2
some 1
sometime 1
son 1
spends 1
splits 1
squad 2
squadmates 2
starts 1
states 1
still 3
straight 1
suffering 1
supposedly 1
team 1
tell 1
that 7
the 33
their 4
them 4
then 2
therapy 1
there 1
they 1
threats 1
three 1
time 3
to 23
tongue 1
tortured 1
trained 1
travels 2
treason 1
trust 1
turn 1
twomonth 1
undergoing 1
uneasy 1
united 1
up 2
upon 1
ventures 1
viet 7
vietnam 1
village 1
villagers 1
violent 1
waiting 1
war 2
was 2
well 1
when 2
which 1
who 2
whom 1
winter 1
with 10
withstanding 1
working 1
wounded 2
year 1
yokosuka 1
