4016195
/m/0bcnvx
/m/0bcnvx
Susan Swan
1993
133 1
a 37
aback 1
able 1
about 2
abrams 1
absence 3
absolves 1
accident 1
accompany 1
act 1
actions 1
actually 1
admits 1
affection 1
after 8
again 1
against 2
aggravates 1
alcohol 1
alcoholic 1
alice 2
all 2
alone 1
along 3
also 1
alterego 1
amidst 1
amongst 1
an 7
anatomy 2
and 65
angrily 1
annotated 1
another 1
antiquated 1
any 1
are 3
arguing 1
around 1
arrested 1
as 13
asa 2
asks 1
assassinated 1
assaulted 1
assigns 1
at 5
atmosphere 1
attack 1
attending 1
attends 1
attraction 1
aware 1
away 2
awkward 1
back 1
badly 1
bag 1
banned 1
basis 1
bath 3
bathroom 1
be 6
beat 1
beats 1
because 3
become 2
becomes 1
bed 1
bedside 1
bedstead 1
been 6
before 2
begins 1
behaviour 3
being 3
believes 1
beneath 1
between 1
bewildered 1
bible 1
bicycle 1
bizarre 1
bleeding 1
blood 1
boarding 1
body 1
bond 1
book 1
borders 1
both 1
bout 1
bowls 1
boy 5
boyfriend 1
boys 1
brash 1
breakin 1
breaks 2
bringing 2
broken 1
brother 5
brushes 1
burn 1
burned 1
bursts 1
bury 1
but 6
by 12
can 1
cane 1
cannot 1
canon 1
caress 1
carving 1
castrated 1
catches 1
chagrin 1
challenged 1
challenges 2
change 1
chapter 1
character 2
chased 1
checks 1
cheered 1
childhood 1
chilling 1
christmas 2
class 1
clear 1
close 1
cold 1
college 7
comfort 1
comfortably 1
comic 1
comical 1
committed 1
completes 1
complex 1
concludes 1
conscience 1
consensus 1
continued 2
continues 1
convent 1
conversation 1
conversations 1
correspondence 1
costume 1
court 1
cousin 1
creates 1
crediting 1
crime 1
critical 1
cry 1
crying 1
cubicle 1
custody 1
cut 1
czech 1
dance 1
dark 1
darkness 1
dead 3
death 2
denies 1
depict 1
desire 1
detail 1
details 2
devastated 2
developed 1
did 1
didnt 1
died 2
different 1
disappeared 1
discloses 1
discovered 1
discovers 2
distant 2
distracted 2
distressed 1
do 2
doctor 1
does 1
doesnt 2
doing 1
done 1
door 1
dorm 3
down 1
draw 1
drawer 1
dream 1
dress 1
dressed 1
dresses 1
drinking 1
drives 2
dwarf 1
early 1
eating 1
eccentric 1
elder 1
eluding 1
embarks 1
emerges 1
emphasises 1
end 1
enjoyed 1
enough 1
even 4
evening 6
events 1
eventually 1
every 1
everyone 1
evident 1
evil 1
exactly 1
exile 1
experience 1
exposition 1
f 1
face 1
fallen 1
falling 1
familiar 1
father 5
females 1
festivities 1
field 1
fight 2
figures 1
film 1
finally 1
finding 1
finds 2
first 2
fixation 1
follow 1
fooled 1
fooling 1
for 12
forced 1
form 1
found 3
founded 1
founder 1
freedom 1
frequently 1
friend 2
friendlier 1
friendly 2
friends 1
friendship 1
from 14
frustrations 1
full 1
funeral 1
furor 1
garb 1
gave 1
genitals 1
genuine 1
get 1
gift 1
gin 1
girl 3
girls 3
giving 1
glad 1
glue 1
go 1
goes 2
gone 1
got 1
gray 1
greek 1
groundskeeper 1
had 7
hair 1
happened 1
hard 1
has 15
have 5
having 1
he 4
headmistress 1
heard 2
heart 1
heating 1
her 58
herself 6
hesitates 2
hides 1
higgs 1
him 6
himself 1
his 10
hockey 1
home 3
horrified 1
house 2
how 1
hump 3
hurt 1
ie 1
immediately 1
in 32
incident 1
include 1
increasingly 1
inferiority 1
informs 1
injured 1
innocent 1
inside 1
inspired 1
instead 1
institution 1
instructs 1
intensity 1
into 5
introduces 1
involved 1
involvement 2
is 29
ismay 4
it 8
its 1
jack 4
jail 1
janitor 1
john 1
joins 1
josie 1
keenly 1
keep 1
keepsakes 1
kennedy 2
kill 1
killed 1
kind 2
king 5
kissing 1
knife 1
know 1
known 1
kong 1
kyphosis 1
lack 1
ladies 1
landing 2
later 1
laughingly 1
leads 1
leaves 1
left 1
leg 1
letters 4
letting 1
lewis 14
lexicon 1
life 1
lifting 1
like 1
likeable 1
local 1
long 1
longest 1
longs 1
