1818842
/m/05zdx0
/m/05zdx0
Kurt Eichenwald


17 1
180s 1
2001 1
a 2
accountants 1
accounting 1
activities 1
actually 1
addition 1
all 1
allowing 1
an 2
and 10
andersen 1
andrew 1
are 1
arthur 1
as 2
assets 1
at 2
bad 1
basic 1
be 1
began 1
billions 1
board 1
bonuses 1
book 1
books 1
both 1
bulk 1
business 2
but 1
by 3
cfo 1
chief 1
collapse 2
company 1
complicity 1
conspiracy 1
consultant 1
cooking 1
corporate 1
corporations 1
created 1
criminals 1
culture 1
deals 1
depended 1
depicted 2
directors 1
dollars 1
emerges 1
enabled 1
encouraged 1
enron 11
events 1
eventually 1
everrising 1
external 1
fall 1
fastow 3
fees 1
few 1
fictitious 1
financial 2
focus 1
fools 1
for 2
from 1
front 1
gain 1
game 2
greedy 2
group 1
he 1
himself 1
his 1
huge 2
if 1
ignored 1
imploded 1
in 5
incompetents 1
insider 1
insiders 1
internal 1
investments 1
is 2
it 1
jeffrey 1
kenneth 1
kopper 1
lawyers 1
lay 1
leaving 1
led 1
losses 3
making 1
management 2
manipulated 1
many 1
masked 1
michael 1
money 1
occur 1
of 15
off 1
officer 1
on 2
onward 1
outofcontrol 1
outside 1
outsider 1
own 1
partner 1
partnerships 2
paying 1
personal 1
picture 1
prices 1
principles 1
profits 3
questionable 1
raked 1
rather 1
reporting 1
senior 1
show 1
situation 1
skilling 1
small 1
solvency 1
stock 2
stories 1
story 1
structure 1
structures 1
system 1
tells 1
than 1
that 4
the 19
their 2
themselves 2
there 2
to 6
tricks 1
undone 1
using 1
voraciously 1
was 1
were 3
when 1
which 1
while 2
with 1
