1497977
/m/0561r8
/m/0561r8
Jean Cocteau
1929
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 20
about 1
after 6
agathe 8
age 1
also 2
an 3
and 14
angry 1
another 1
as 4
at 3
attended 1
beaten 1
beats 1
becomes 1
bedridden 1
before 1
begin 1
being 1
bodies 1
both 1
break 1
brother 1
brothers 1
bully 1
business 1
but 1
by 7
can 2
cannot 1
cares 1
caused 1
characterised 1
collector 1
committed 1
concerns 1
contest 1
continues 1
couple 1
dargelos 4
dead 1
devised 1
died 1
dies 1
display 1
drugaddicted 1
dying 3
each 1
element 1
elisabeth 11
end 1
enjoy 1
enthralled 1
enthusiast 1
even 1
father 1
feelings 1
feminine 1
final 2
finds 2
first 1
for 1
friend 1
frightened 1
from 1
frustration 1
game 5
gerard 4
get 1
gift 1
girl 1
happy 1
has 2
having 1
he 2
heart 1
helps 1
her 7
herself 2
him 2
himself 1
his 3
honeymoon 1
house 1
how 1
however 1
hurt 2
ideally 1
ill 1
in 5
incestuous 1
inflict 1
inherit 1
inside 1
into 2
involves 1
is 11
it 1
job 1
knowing 1
large 1
last 1
leaves 1
leaving 1
lies 1
life 1
looking 1
looks 1
love 4
man 1
manages 1
marriage 2
married 2
marrying 1
matter 1
meeting 1
meets 2
model 1
moments 1
mother 3
move 2
moves 1
much 1
now 1
nursing 1
obsessed 1
of 8
often 1
on 1
one 2
orphaned 1
other 2
out 1
parents 1
paul 13
pauls 1
playing 1
poison 1
poisons 2
recovers 1
resemblance 1
result 2
scheme 1
school 2
seconds 1
see 2
sends 1
sense 1
senses 1
she 4
shoots 1
siblings 4
snowball 1
soon 3
stand 1
start 2
stone 1
story 2
strong 1
suicide 1
superiority 1
taken 1
takes 1
that 5
the 17
their 2
then 1
there 1
these 1
they 2
this 4
throws 1
to 13
trying 1
twist 1
two 1
up 1
was 1
way 1
wealthy 1
when 1
where 2
which 1
while 2
who 5
whom 1
winner 1
with 9
without 1
word 1
writing 1
yet 1
young 2
