32454643
/m/0gywqq6
/m/0gywqq6
Patrick McGrath

a 9
account 1
affair 1
again 2
agree 1
all 1
also 1
an 4
and 9
another 1
arrested 2
art 1
artist 1
artistic 1
as 9
asylum 4
at 4
atelier 2
back 2
be 1
beautiful 1
become 3
becomes 1
behaviour 1
being 1
black 1
bronze 1
building 1
bust 1
but 6
by 4
can 1
cant 1
care 1
changes 1
charlie 1
cleave 1
clothes 1
commits 1
committed 1
complex 1
conservatory 1
contact 1
countryside 1
cure 1
danger 1
decides 1
depressed 1
deputy 1
desk 1
despite 1
didnt 1
disturbing 1
does 1
doesnt 2
drawer 1
drowns 1
due 1
during 1
edgar 12
effort 1
else 1
enjoys 1
escapes 1
evolve 1
fails 1
family 4
fears 1
feelings 1
feels 1
find 1
finds 1
fired 1
first 1
flee 1
for 7
found 1
frequent 1
friend 1
friendship 1
from 3
gain 1
get 1
gets 2
go 1
grows 1
guilty 1
has 3
have 1
he 5
head 2
help 2
her 18
hiding 1
him 2
his 4
hope 1
hospital 3
house 1
household 1
husband 1
in 10
infanticide 1
influence 1
informs 1
institution 1
institutionalised 1
into 2
involved 1
is 7
it 1
jealous 1
keep 1
keeps 1
leave 1
life 2
lives 1
locate 1
london 2
lost 1
love 4
lover 2
made 1
make 1
manages 1
marriage 1
max 7
maximum 1
medea 1
mental 1
morbid 1
more 3
move 1
much 1
murder 1
near 1
neighbour 1
nick 2
not 1
now 2
of 9
old 1
out 1
papers 1
pass 1
patient 1
permanently 1
peter 3
pills 1
place 1
poisoned 1
police 3
potentially 1
psychiatric 1
raphael 1
rather 1
realizing 1
reigns 1
restores 1
returns 1
reunion 1
reunites 1
romantically 1
run 1
runs 1
scandalous 1
school 1
sculpts 1
sculpture 1
security 1
seems 1
sex 1
shabby 1
she 17
shelter 1
shopping 1
simple 1
situation 1
so 3
solitary 1
somebody 1
son 3
stark 1
starts 2
stella 9
still 2
strengthened 1
stronger 1
suicide 1
superintendent 1
suspicious 1
swallow 1
swamp 1
take 1
takes 2
talented 1
that 2
the 22
their 2
then 1
they 1
thinks 1
this 3
time 1
to 20
track 1
tries 1
trip 1
trust 1
underground 1
unimaginative 1
used 1
uses 1
using 1
via 1
victorian 1
violent 2
visits 1
waiting 1
wants 3
wearing 1
welsh 1
when 2
where 3
which 1
while 2
who 3
wife 1
with 7
woman 1
work 2
works 1
