3186281
/m/08xx0d
/m/08xx0d
Franz Werfel
1928
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
02 1
127 1
16 2
17 2
25th 1
43 1
a 12
abituriententag 1
abominable 1
about 1
accept 1
adler 9
afternoon 1
again 1
age 1
alcohol 1
all 1
alone 1
also 1
although 1
amounts 1
an 1
and 14
anniversary 1
any 1
appears 1
are 1
arrested 1
as 4
assertion 1
associate 1
at 4
attended 1
attends 1
attention 1
attract 1
aunts 1
austriahungary 2
aware 1
back 1
basis 1
be 4
beaten 1
been 1
before 3
both 2
bourgeois 1
boy 1
bring 1
brought 2
but 1
by 3
called 1
can 2
chance 1
character 1
class 4
classmate 2
classmates 3
closeknit 1
closer 1
comes 1
command 1
community 1
confession 2
confrontation 1
conquer 1
continue 1
course 1
crime 1
decides 1
desk 1
desperately 1
document 1
does 3
down 2
dr 1
dramas 1
drink 1
due 1
during 3
education 1
ennervating 1
ensuring 1
ernst 1
escape 1
eventually 2
everyone 1
excessive 1
expelled 1
fact 1
father 1
fearful 1
fictional 1
file 1
finds 1
following 3
for 4
forced 1
forging 1
former 1
franz 1
front 1
germany 1
get 1
go 1
going 1
gone 1
grades 1
gymnasium 1
happens 1
has 3
he 9
hearing 1
helps 1
highestranking 1
him 5
himselfmdashexcept 1
his 17
however 2
identity 1
in 14
including 1
indecipherable 1
inspection 1
intellectual 1
interviewmdasha 1
into 2
investigating 1
is 8
it 2
jew 1
judge 4
knows 1
late 1
lawyer 1
leave 1
lie 1
life 1
man 2
many 1
matura 1
mediocre 2
meeting 2
memories 1
men 1
middle 1
middleaged 1
monday 2
morning 1
murder 1
never 2
new 2
night 2
nikolaus 4
not 2
novel 2
occasioned 1
of 22
officemdashsebastian 1
old 1
on 5
once 1
one 2
only 1
out 5
own 2
parents 1
part 2
particular 1
performance 1
philosophical 1
plethora 1
poor 1
postpone 1
preliminary 1
prestigious 1
private 1
prostitute 1
prostitutes 1
provincial 1
pupil 1
pushes 1
rather 2
read 1
reader 1
recognize 1
recognizes 1
redhaired 1
regret 1
regular 1
reluctant 1
repent 1
reunion 3
reveal 1
revealed 1
rid 1
rival 1
same 1
sankt 4
saturday 2
school 2
schoolyear 1
schottengymnasium 1
sebastian 12
seducing 1
seem 1
selfsatisfaction 1
sets 1
shorthand 1
sins 1
sits 1
sleep 1
stay 1
stays 1
succeeds 1
superiority 1
talk 2
teachers 1
tempting 1
than 1
that 6
the 34
their 2
then 1
they 1
this 1
though 1
thus 1
till 1
time 1
title 1
to 21
town 2
treatises 1
tries 1
truancy 1
true 1
truth 1
turn 1
turns 1
two 3
unpleasant 1
untersuchungsrichter 1
up 1
upset 1
very 1
vienna 1
was 1
were 1
when 1
where 1
which 3
who 7
will 3
with 5
works 1
writes 2
yearold 1
years 1
