6112846
/m/0fqqss
/m/0fqqss
Pete Hautman

{"/m/03mfnf": "Young adult literature"}
a 4
about 2
absent 1
accidentally 1
adults 1
afraid 1
ago 1
also 1
and 7
andy 6
are 1
as 1
at 5
athletic 1
basement 1
be 1
becoming 1
been 1
beloved 1
best 1
bomb 1
bridge 1
burn 3
burning 1
burnt 1
classmate 1
dead 1
debatable 1
died 2
different 1
discuss 1
dougie 7
end 1
everything 1
evident 1
except 1
fateful 1
find 2
finds 1
fire 3
first 1
for 1
forced 1
friend 1
friendship 1
from 1
grandfather 1
happened 1
has 1
haverman 1
he 9
hiding 1
him 3
his 8
hospital 3
hospitalized 1
house 1
however 1
if 1
imagination 1
in 3
inept 1
into 1
is 12
it 4
leads 1
mad 1
madham 4
making 1
matchsticks 1
medications 1
melissa 1
mentions 1
morrow 1
most 1
name 1
needs 1
night 1
not 4
of 6
on 1
only 2
or 2
out 1
people 1
place 3
plastic 3
popular 1
present 1
pressures 1
promising 1
psychologist 1
railroad 1
referring 1
remember 1
rest 1
return 1
revealed 1
see 1
seeing 1
seems 1
selfbuilt 1
sessions 1
set 2
sets 1
since 1
skipping 1
smelling 1
smells 1
socially 1
stalking 1
talk 1
talks 1
teenager 1
telephone 1
that 7
the 17
then 1
they 2
things 1
threat 1
three 1
to 11
town 2
train 1
truth 1
tuttle 2
two 1
unit 2
very 1
via 1
victim 2
visits 1
wants 1
was 1
what 2
when 3
whether 2
which 1
while 1
with 2
years 1
yet 1
