7107337
/m/0h4h1s
/m/0h4h1s
Thomas Dekker

1 7
2 7
3 7
4 2
5 2
a 35
about 3
accepts 1
according 1
act 11
actually 1
affair 1
after 1
again 3
against 1
agree 1
agrees 7
aiming 1
alexander 19
alexanders 2
all 4
also 1
alternative 2
although 1
always 1
amused 1
an 3
and 55
anger 1
announces 1
another 1
anyone 1
apologises 1
appears 1
apprises 1
are 7
arrange 1
arrested 1
arrived 1
as 9
asked 1
asking 2
asks 2
assume 1
assuming 2
at 5
await 1
away 1
be 11
because 2
been 1
before 2
behaviour 1
being 1
believes 1
bet 1
betrothed 2
bit 1
both 1
boy 1
breach 1
breaking 1
bride 2
bring 1
brought 1
but 15
buy 1
buying 1
by 5
calling 1
calls 1
can 1
capitalises 1
certain 1
challenges 1
chamber 2
chambers 1
chaste 1
children 1
citizens 1
claim 1
comes 1
comments 1
concocting 1
confess 3
confesses 1
continuing 1
contract 1
counter 1
couple 1
court 1
courted 1
courts 1
covert 1
creatures 1
crossdressing 1
cure 1
cutpurse 1
cutpurses 1
dapper 2
daughterinlaw 1
davy 2
days 1
dead 1
debtor 1
deceitfulness 1
decide 1
decided 1
decides 1
demanded 1
demands 1
destroy 1
diamonds 1
dinner 1
discuss 1
disgrace 1
disguise 1
disguised 1
do 1
document 1
does 3
doingmdashafter 1
dont 1
dowry 1
dressed 1
dresses 1
drinking 1
dubious 1
duty 1
else 2
enable 1
ended 1
ends 1
enormity 1
enter 4
enters 10
escapes 1
exfriend 1
exits 3
explains 1
explanation 1
fact 1
fancy 1
father 10
fathers 1
fault 1
feared 1
feather 1
feels 1
feigning 1
few 1
fields 3
fifteen 1
fight 2
finally 1
find 1
fitzallard 2
fled 1
flirtatious 1
flirting 1
flirts 1
follow 1
for 10
forced 2
formulates 1
from 2
gallant 1
gallants 2
gallipot 10
gallipots 2
gambling 1
gang 1
gently 1
get 5
girl 1
girls 1
gives 1
go 1
goes 1
gold 1
good 2
got 1
gray 1
grays 2
grotesque 1
grown 1
gull 1
guy 2
guys 1
had 3
half 2
hand 2
happy 2
has 11
have 6
he 32
help 3
hence 1
her 25
him 25
himself 1
his 24
holborn 1
hold 1
holds 1
home 2
honest 1
honesty 1
honour 1
hope 1
horrified 2
house 5
how 3
however 3
hundred 1
husband 2
if 3
impugned 1
in 21
inn 3
instead 1
instructions 1
into 1
is 32
it 5
jack 5
jacks 1
jail 2
jewels 1
judgement 1
just 1
keeping 1
knowledge 1
known 1
knows 1
lack 1
land 1
lands 2
large 1
later 1
laxton 13
laxtons 1
lays 1
learned 1
legal 1
lesson 1
letter 2
lie 1
life 1
lightly 1
like 1
loan 1
londons 1
loose 1
loss 1
love 2
loves 1
lowlifes 1
make 1
man 3
manwoman 1
many 1
marriage 1
married 4
marry 3
mary 7
marys 1
match 2
may 1
meanwhile 1
meet 3
mistress 3
mocks 2
moll 26
money 3
morally 1
more 1
motives 1
mrs 1
much 1
musing 1
must 1
need 1
never 6
news 1
no 2
not 7
nothing 1
notorious 1
now 4
oclock 2
of 15
off 5
offers 2
old 1
on 11
only 1
open 1
openwork 1
opinion 1
or 1
order 2
other 1
out 3
outraged 1
own 1
page 1
pair 1
parasite 1
parlour 1
pay 1
peace 1
people 1
permit 1
plan 6
plays 1
pm 1
police 1
polite 1
pounds 3
precontracted 1
preferable 1
presents 1
pretend 1
pretending 2
pretends 1
prison 1
profligate 2
promised 1
promises 1
proof 1
protect 1
public 1
publicly 1
punished 1
pursuing 1
quickly 1
rank 1
rather 1
reached 1
really 1
rebuffs 1
rebukes 1
refused 1
relationships 1
relieved 1
rendezvous 1
replies 1
resolved 1
retreats 1
returned 1
revealed 1
rid 1
rob 1
rogues 1
rumour 1
saved 1
saying 2
says 6
scene 12
sebastian 15
sebastians 2
see 1
sees 3
senses 1
sent 1
sergeants 3
servant 3
services 1
set 3
sets 1
sex 1
shall 1
shame 1
she 32
shocked 2
shopkeepers 1
shops 1
show 1
shown 1
simple 1
sin 1
sings 1
sir 26
situation 1
so 2
society 1
soldier 1
someone 1
something 1
son 4
spy 1
spying 1
steal 1
stealing 1
still 2
story 1
straight 1
street 4
string 1
suggests 1
suitor 1
sum 1
suspect 2
take 3
taken 1
takes 2
tale 1
talking 1
talks 1
taunts 1
teach 1
teaches 1
tearing 1
teases 1
tells 3
than 1
thanks 1
that 31
the 40
their 3
them 9
then 4
there 2
they 3
thief 2
thinks 2
thirty 3
this 4
thought 2
three 1
through 2
time 1
to 57
tobaccoshop 1
too 1
towards 1
trap 1
trapdoor 8
trapdoors 1
treat 1
trick 1
true 2
trusts 1
try 3
uncovers 1
understand 1
unfaithful 1
union 1
up 2
value 1
values 1
various 2
vastly 1
viol 1
wager 1
wailing 1
wants 1
warns 1
was 4
watching 1
way 1
wed 1
welcome 1
were 1
what 1
when 2
which 2
who 4
whom 1
whore 1
whores 1
whoring 2
wife 3
wild 1
will 17
with 11
wives 2
women 4
woos 1
world 1
worried 2
worse 1
would 5
wounds 1
wrong 2
young 2
