4598712
/m/0cbwbh
/m/0cbwbh
Karen Traviss
2007-05-29
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 6
aboard 1
admiral 1
after 1
all 1
alliance 1
allows 1
and 7
another 1
are 1
arresting 1
as 5
assassinate 1
assumes 1
at 3
attempting 1
backfires 1
been 1
ben 7
betrayal 1
between 1
bloodless 1
boba 2
book 2
caedus 1
cal 1
chaos 1
chiefs 1
clone 1
complete 1
confederation 1
confesses 1
conversation 1
corellianled 1
could 1
coup 1
cure 1
cures 1
dark 1
darth 1
down 1
dur 1
end 1
exchange 1
exile 1
fett 2
final 1
finding 1
follows 1
for 3
found 1
galactic 1
gejjen 1
gev 1
giving 1
have 1
he 4
her 3
him 3
his 3
horrified 1
however 1
hunts 1
illness 1
in 2
installing 1
into 1
introducing 1
jacen 8
jade 1
joint 1
kad 1
kill 1
killed 1
killer 1
kills 3
law 1
laws 1
left 1
leverage 1
live 1
livid 1
love 1
luke 1
lumiya 3
making 2
mandalorians 1
manipulates 1
mara 5
meanwhile 1
meditation 1
mirta 1
mother 1
name 1
new 1
niathal 1
not 1
novel 1
of 5
off 1
omas 2
on 1
or 1
other 1
out 1
overhears 1
people 1
politics 1
promise 1
prophecy 1
returning 1
reveals 1
rewrite 1
sacrifice 2
same 1
search 1
sends 1
sets 1
side 1
since 1
sith 2
skirata 1
skywalker 1
so 1
solo 1
son 1
sphere 1
stage 1
starts 1
state 1
still 1
that 3
the 14
themselves 1
then 1
thinking 1
thirty 1
this 3
throwing 1
time 2
to 10
turn 1
united 1
using 1
was 1
where 1
with 3
years 1
ziost 1
