2656804
/m/07vts_
/m/07vts_
Ronald Wright


10000 1
a 8
ability 1
able 1
about 1
abundance 1
advancements 2
against 1
age 3
ago 1
agriculture 1
all 1
allowed 2
also 1
alternatives 1
american 1
amongst 1
an 2
and 25
animals 1
answer 1
anthropologist 1
applying 1
are 13
arising 1
arrogance 1
art 1
as 8
assumption 1
at 3
be 1
became 1
been 1
before 1
behaviour 1
being 5
between 1
bioengineering 1
blocked 2
boats 1
bone 1
book 1
both 4
broad 1
build 1
but 4
by 4
calls 1
capacity 1
carrying 1
carvings 1
cave 1
center 1
centralised 1
certain 1
change 2
changes 1
chapter 6
china 1
civilisation 1
civilisations 5
clearing 1
collapse 2
collapsed 2
come 1
compared 1
competition 1
complex 1
complexity 1
concludes 1
conditions 4
consequently 1
consists 1
continues 1
corporations 1
costs 1
could 1
create 3
created 1
cromagnon 1
culture 2
cybernetics 1
cycles 1
damage 1
declined 1
defines 1
degradations 1
demand 1
depletion 1
described 1
desertification 1
despite 1
destroyed 1
did 1
diffused 1
diminishing 1
direction 2
do 1
during 2
easter 2
economics 1
ecosystem 1
eg 1
egypt 1
empire 2
empires 1
ended 1
environment 1
environmental 2
erect 1
eroded 1
etc 1
everywhere 1
examination 1
examined 2
example 1
examples 2
exceed 1
existed 1
exists 1
experience 1
experiment 2
explanation 1
extended 1
extinct 1
extinctions 1
extremists 1
failed 1
fall 2
farming 1
fates 1
final 2
fire 1
first 2
flourished 1
fools 1
for 7
fourth 1
framework 1
free 1
from 1
game 1
gauguin 2
gauguins 1
given 1
global 1
going 2
great 1
greater 1
greed 1
had 1
have 2
high 1
history 1
hostile 1
human 3
hunted 1
hunting 2
hunts 2
impact 1
implemented 1
improvement 1
in 11
inadvertently 1
including 1
independently 1
indicates 1
inevitably 1
innovation 1
innovations 2
interests 2
invoked 1
irreversible 1
irrigation 1
is 5
island 3
it 1
joseph 1
laissezfaire 1
land 2
large 2
larger 1
last 1
leader 1
leading 1
led 4
less 1
limeburning 1
local 1
logging 1
longterm 1
looking 1
mankind 1
mankindthat 1
market 1
mayan 1
means 1
megafauna 1
methods 1
modern 2
more 2
most 1
move 1
multilateral 1
multiple 1
name 1
nanotechnology 1
natural 1
neanderthals 1
necessary 1
needed 1
new 1
not 1
notably 1
of 24
on 2
one 2
only 1
operating 1
or 3
order 1
organisations 1
other 1
others 1
our 1
outcompete 1
over 1
overgrazing 1
painting 1
paintings 1
paradise 1
particularly 1
past 1
pattern 1
patterns 1
paul 1
peaked 1
periphery 1
permanently 1
places 1
planks 1
poses 1
potential 1
power 2
present 1
previous 1
problems 1
progress 5
provide 1
pyramid 1
question 1
questions 3
rather 1
rebellion 1
refer 1
referring 1
refers 1
reform 1
reformations 1
reforms 2
refused 1
regions 1
reject 1
replace 1
required 1
resource 1
resources 1
respect 1
result 1
returns 1
rise 1
roman 2
salination 1
same 2
scale 1
schemes 1
second 1
see 1
seeks 1
sees 2
settlement 1
shift 1
sign 1
size 1
smaller 2
so 2
social 1
societal 1
societies 2
society 3
soil 1
solve 1
span 1
statues 1
stone 3
subsequently 1
succeed 1
successful 2
succumb 1
sumer 2
support 1
sustainable 1
system 1
systems 1
tainter 1
technological 1
term 1
terms 1
testing 1
than 2
that 16
the 49
their 4
these 1
thinking 1
third 1
this 1
time 3
title 1
to 26
tools 1
topsoil 1
towards 3
transfers 1
trap 1
traps 1
two 2
typical 1
ultraconservative 1
unable 1
unwilling 2
used 1
uses 1
using 1
vested 2
victorian 1
view 1
visually 1
wars 1
we 4
well 1
were 4
what 3
where 3
which 3
who 2
will 1
with 5
wood 1
worked 1
worse 1
wright 8
years 1
zenith 1
