923716
/m/03qb88
/m/03qb88
Frank McCourt
2000-08-29
{"/m/016chh": "Memoir"}
a 3
about 1
action 1
after 3
albany 1
alberta 1
all 1
america 1
american 2
americanborn 1
an 2
and 16
angela 5
ann 1
another 1
apathetic 1
army 2
around 1
as 6
ashes 5
at 5
attends 1
back 1
bad 1
because 1
become 1
begins 1
bluecollar 1
book 5
books 1
brothers 1
bury 1
by 1
chapter 1
cigarettes 1
city 1
clerktypist 1
clueless 1
coffee 1
college 1
compares 1
compensation 1
confrontations 1
corporal 1
course 1
customs 1
daughter 1
deal 1
decides 1
described 1
despite 1
died 1
dies 2
do 1
drafted 1
due 1
during 1
each 1
effective 1
emphysema 1
end 1
ends 2
english 1
europe 1
eventually 3
examines 1
exceptional 1
falls 1
family 4
father 3
final 1
finally 1
followed 1
for 2
forced 1
frank 10
franks 1
friendless 1
from 3
germany 1
get 1
girl 2
giving 1
goes 2
graduated 1
graduating 1
grandmother 1
granted 1
graves 1
has 2
have 2
having 1
he 14
health 1
her 2
high 3
him 1
himself 1
his 17
home 1
how 1
in 9
increasingly 1
indifferent 1
infancy 1
integrate 1
intended 1
intercourse 1
interviews 1
into 2
ireland 4
is 5
island 1
joking 1
lands 1
last 1
leave 1
leaves 1
leaving 1
long 1
love 1
makes 1
malachy 1
man 1
many 1
margaret 1
marries 1
mccourt 6
mckee 1
meets 1
memoir 1
middleclass 1
mother 3
move 1
moves 1
mstis 1
named 1
ndash 1
never 1
new 4
nonetheless 1
nyu 1
of 8
on 4
only 2
or 1
originally 1
other 2
over 2
people 1
perhaps 1
prestigious 1
quickly 1
rank 1
refugee 1
relationship 2
reliance 1
remarked 1
resources 1
return 1
revises 1
rises 1
russian 1
same 1
scatter 2
school 3
see 1
sent 1
service 1
several 1
sexual 1
show 1
siblings 1
sister 1
small 1
social 1
society 1
sour 1
spreading 1
sr 1
staten 1
stay 2
struggles 1
students 1
studies 1
stuyvesant 2
style 1
teacher 2
teaches 1
teaching 3
technical 1
that 2
the 15
their 1
them 1
then 2
there 1
they 2
this 2
time 2
tis 3
title 1
to 22
together 1
try 1
turns 1
university 1
us 2
vocational 1
was 1
way 1
where 1
while 1
who 3
whom 1
wife 2
with 7
word 1
york 4
