2266900
/m/06_f_d
/m/06_f_d
Nelson Algren
1956
{"/m/05hgj": "Novel"}
a 31
able 1
about 3
achilles 2
addition 1
adventures 1
air 1
all 1
and 19
angered 1
another 1
anyone 1
anything 1
around 2
arroyo 2
as 4
assaulted 1
at 2
attempted 1
avoid 1
away 1
back 2
bar 2
barely 1
be 2
bearer 1
beat 2
beauty 2
became 1
because 2
become 1
been 2
before 2
began 1
being 1
blackmails 1
blind 1
bodies 2
body 1
books 2
bore 1
bottom 1
breedlove 1
brothel 2
brother 1
bulls 1
burglary 1
business 1
but 5
by 5
byron 3
caf 3
called 1
cash 1
catholic 1
caught 1
certificates 1
cesspools 1
childrens 2
chili 1
circus 1
city 1
climb 1
closed 1
closeness 1
coffeepots 1
colors 1
condom 1
condoms 1
consuming 1
continue 1
continued 1
could 2
couple 1
courthouse 1
crockett 1
cultures 1
customers 1
cut 2
cutting 1
day 1
deflowered 1
denounced 1
descended 1
did 2
different 1
dios 1
doc 1
dockerys 3
dove 16
doves 5
drinking 1
drunk 1
education 3
en 1
entitled 1
escapade 1
even 1
eventually 1
every 1
except 1
experienced 1
factory 1
fall 1
father 1
fe 2
finnertys 3
firm 1
first 1
fitz 3
fooled 1
former 2
found 1
freight 2
friend 1
from 5
gang 1
girl 1
girls 2
go 1
got 3
grande 1
gross 1
had 7
hallie 4
hanging 1
has 1
have 1
he 10
heads 2
helped 1
her 3
him 6
his 9
hoboes 1
home 1
hotel 3
house 1
houston 1
how 2
hung 1
in 15
influences 1
inhabited 1
instead 1
interested 1
interesting 2
into 4
it 1
its 1
jails 1
job 1
kicks 1
killed 1
kitty 3
knows 1
la 1
lawmen 1
learn 2
leaves 1
legs 1
lengthiest 1
letters 1
life 3
linkhorn 1
living 1
love 1
lovers 1
made 2
main 1
make 2
man 1
managed 2
many 1
memorable 1
met 1
mind 1
momandpop 1
money 1
most 2
mother 1
movies 1
named 1
names 1
never 1
new 2
no 1
not 4
odaddies 1
of 17
off 3
often 1
old 1
oliver 1
on 5
one 5
onetime 1
orleans 2
other 2
out 3
paint 1
painter 1
parlor 1
peepholes 1
people 2
pile 3
place 2
port 1
possible 1
powerful 1
preaching 1
pretending 1
price 1
principal 1
prostitute 2
pumping 1
railroad 1
raped 1
rapes 1
reach 1
read 2
register 1
retained 1
rhino 1
rio 1
rob 1
ruins 1
run 1
runaway 1
santa 1
saved 1
saw 1
schmidt 3
schmidts 1
school 1
schoolteacher 1
seducing 1
see 1
seldomvisited 1
selling 1
send 1
she 3
shop 1
sickly 1
side 1
sins 1
slid 1
small 1
sold 1
soldier 1
sons 2
soup 1
speakeasy 1
star 1
stay 1
stealing 1
steamship 1
steps 1
still 2
storybook 1
string 1
strongman 1
supposed 1
supposedly 1
surged 1
taken 1
teacher 1
teaching 1
telling 1
terasina 3
terasinas 1
texas 2
that 2
the 40
then 2
thereand 1
they 1
things 1
through 1
throwing 1
ticket 1
to 28
took 1
top 2
town 2
towns 1
tracks 1
train 3
treatment 1
tried 1
trying 1
turtle 2
turtles 1
twin 1
twist 2
two 2
under 1
until 1
up 2
upper 1
valley 1
velma 1
vestiges 1
vidavarri 1
virgins 1
vocation 1
wanted 1
wary 1
was 22
watched 1
way 1
weak 1
were 4
what 1
wheels 1
when 2
where 1
which 2
while 2
who 11
whom 1
whose 1
with 9
woman 1
women 1
worked 2
worlds 1
write 1
