2759982
/m/0812xh
/m/0812xh
Anne Tyler
1982-03-12
{"/m/02xlf": "Fiction"}
3 1
6 1
a 10
abandoned 1
abandons 1
able 1
adventurous 1
after 1
an 1
and 11
as 3
at 5
attempts 1
away 1
back 1
be 1
beck 3
becomes 3
believes 1
both 1
bring 1
brother 1
but 4
by 1
career 1
caregiver 1
child 1
children 2
cody 7
college 1
conflict 1
cook 1
customers 1
desire 1
dinner 1
does 1
down 1
easy 1
efficiency 1
endless 1
engaged 1
envious 1
expert 1
ezra 6
facing 1
family 5
father 1
favorite 1
find 1
first 1
for 3
front 1
funeral 1
furthering 1
get 2
girlfriends 1
goes 1
grow 1
harried 1
has 2
he 4
her 4
him 1
his 7
home 1
homesick 1
however 1
husband 1
if 2
impulse 1
in 6
inherits 1
interest 1
involves 1
is 11
jenny 1
later 1
leaves 1
life 1
luring 1
maintain 1
man 1
manages 1
marriage 2
marries 1
meal 1
mend 1
most 1
never 3
not 1
nothing 1
novel 1
nurturing 1
obsessed 1
of 2
often 1
oldest 1
on 1
only 1
out 1
passive 1
pearl 6
pediatrician 1
perfectionist 1
plays 1
pranks 1
recovers 1
recurring 1
reflecting 1
remains 1
resentment 1
restaurant 2
results 1
returns 1
rigid 1
ruth 2
sadness 1
salesman 1
scene 1
scholarly 1
seem 1
she 3
single 1
stability 1
star 1
struggles 1
succeeds 1
successful 2
sweet 1
that 1
the 10
they 2
third 2
this 3
through 1
time 2
to 11
together 1
traits 1
traveling 1
tries 1
tull 1
tulls 1
ultimately 2
underlain 1
unhappy 1
unite 1
unsuccessful 1
up 1
wealthy 1
when 1
which 1
while 1
who 1
whom 1
whose 1
wife 1
wild 1
with 6
without 1
work 1
wrong 1
