879081
/m/03l3sh
/m/03l3sh
Elizabeth Bowen
1938
16 1
a 8
about 1
acquaintance 1
adamant 1
advertising 1
affair 1
after 2
agency 1
also 1
an 2
and 25
anna 15
are 1
around 1
arrival 1
as 2
aspect 1
at 5
aunt 1
away 3
awkward 1
baffled 1
be 1
became 1
because 1
becomes 2
been 2
beginning 1
begs 1
being 1
between 1
brutt 4
but 1
by 4
calls 1
can 1
change 1
cheapest 1
childhood 1
classes 1
clear 1
climax 1
constant 1
continued 1
course 1
death 1
detailing 1
diary 3
died 1
dies 1
dislikes 1
divorced 1
do 4
does 1
duration 1
eddie 4
ends 1
england 1
europe 1
every 1
exiles 1
extramarital 1
family 1
fashion 1
father 1
fetch 1
finds 1
first 1
flirtatious 1
for 2
former 1
frequent 1
friend 2
friends 1
from 2
generally 1
girl 4
go 1
goes 2
governess 1
had 1
half 1
has 3
have 1
he 3
heccomb 1
her 14
him 1
his 1
home 2
hotel 2
idea 1
if 1
in 7
incensed 1
inconsistencies 1
incredibly 1
innocent 1
insistence 1
intensified 1
interest 1
irene 8
is 13
isolating 1
it 2
italy 1
keeps 1
key 1
learned 1
leave 1
left 1
lilian 1
live 3
lives 1
living 1
lodgings 1
love 2
lover 1
maid 1
major 4
make 1
makes 1
man 1
married 2
marry 1
matchett 1
mean 1
missing 1
mother 4
move 2
moves 1
mr 3
mrs 2
named 3
naturally 1
not 3
novel 5
observations 1
observing 1
occurs 1
of 14
on 1
one 3
order 1
over 1
overwhelmed 1
own 1
particularly 1
partway 1
people 3
personality 1
plan 1
portia 23
pregnant 1
prior 1
quayne 6
quaynes 1
quentin 2
rages 1
reading 1
reads 1
refuge 1
relationship 1
result 1
right 1
run 1
runs 1
said 1
same 1
say 2
send 2
sending 1
sends 1
sent 1
she 11
sister 2
so 1
society 1
st 2
stay 1
strange 2
strangers 1
takes 1
tell 1
telling 1
tells 1
that 5
the 21
their 2
them 2
then 3
they 4
thing 1
things 1
thinks 1
this 3
thomas 11
those 1
through 2
time 2
to 21
travel 1
traveled 1
trip 1
true 1
truly 1
try 1
trying 1
uncomfortable 1
understand 1
uniquely 1
until 1
unyielding 1
vacation 1
visitor 1
was 5
what 3
when 3
where 2
which 3
while 2
who 1
why 1
wife 1
will 1
with 12
wonders 1
works 1
writer 1
year 1
