22405231
/m/05t0cp5
/m/05t0cp5
Dean Lorey

2 1
3 1
4 2
5th 1
a 21
ability 1
academy 5
act 1
addys 2
alive 1
all 3
allowed 1
already 1
also 2
an 1
and 29
anomaly 3
another 1
are 4
area 1
as 4
at 1
attracter 1
aura 1
away 1
axe 1
back 5
banish 2
barry 1
base 1
becoming 1
bed 1
been 2
before 2
begin 2
beginning 1
begins 1
begun 1
being 1
between 1
blame 1
book 3
boy 2
boys 1
brook 1
bungalow 1
but 7
by 3
c 1
called 2
calls 1
can 2
captures 1
change 1
changling 2
charlie 11
check 1
child 1
chooses 2
civilised 1
class 3
close 1
closing 1
coming 1
content 1
creature 1
cruelty 1
cure 1
dangeroos 1
darkling 1
death 1
decide 1
delay 1
did 1
director 2
disabling 1
division 2
dora 3
double 1
drake 2
drinks 1
droopy 1
earth 2
eats 1
eight 1
enemy 1
enough 2
escape 2
exams 1
existence 1
explains 1
failed 1
fails 1
father 1
female 2
fifth 3
final 1
find 2
finding 1
first 3
fit 2
for 4
form 1
forms 1
found 1
free 1
friends 6
frightened 1
from 3
get 1
getting 1
giant 1
going 1
grading 1
greed 1
gremlin 1
gremlins 2
group 1
guardian 8
guardians 1
guardianthe 1
guards 1
had 2
hags 1
has 3
have 2
he 5
headmaster 4
hear 1
hearing 1
helps 1
her 4
him 6
his 4
hope 1
hydra 2
in 13
informed 1
informs 3
into 2
is 12
it 4
joins 1
just 1
kill 1
killed 2
kills 2
known 1
leaves 1
left 1
life 1
lives 1
meanwhile 1
memories 2
milk 3
monster 3
monsters 1
named 4
narrowly 1
nether 4
nethercreature 1
nethercreatures 2
netherleaper 2
new 2
nightmare 6
nightmares 1
not 5
novel 1
of 15
old 2
on 3
one 1
only 4
other 1
out 2
outside 1
owned 1
pinch 7
place 4
plan 1
poison 1
poisoned 1
portal 3
portals 1
powers 1
problem 1
protects 1
qualified 1
rage 1
rapier 1
rather 1
reaches 2
ready 1
realize 1
receives 1
regained 1
remaining 1
remembers 1
rescue 1
retrieves 1
return 1
revenge 2
revives 1
rex 5
ring 3
satisfied 1
save 1
saving 1
saying 1
screeching 1
sent 1
series 1
she 3
short 1
shunned 1
sided 1
skinny 1
slagguron 4
so 1
some 1
sorrow 1
spot 1
stand 1
steal 1
still 1
stopped 1
stopping 1
strange 1
suddenly 1
summon 1
swarming 1
tabitha 2
tabithapinch 1
take 3
takes 5
taking 1
teenager 1
tell 1
that 5
the 64
their 4
them 4
theodore 2
there 1
they 14
this 2
three 2
through 3
time 1
to 24
touch 1
towards 1
train 1
tricked 1
truce 1
truly 1
trying 1
turns 1
two 1
tyrannus 4
under 1
upgrade 1
usa 1
using 1
verminion 2
violet 6
voice 1
voidwhere 1
war 2
warning 1
was 6
way 1
weak 1
weapons 1
were 1
what 1
when 2
which 1
who 2
whose 1
why 1
window 1
wish 1
with 4
without 2
wondering 1
years 1
yet 1
