26471766
/m/0bh9hhr
/m/0bh9hhr
Michael Dobson

{"/m/0mz2": "Alternate history", "/m/098tmk": "War novel"}
1 1
13 1
144 1
145 1
18 1
1th 2
27 1
2nd 1
8 1
a 21
aboard 1
about 2
accept 1
across 2
adolf 1
advance 1
after 6
aftermath 1
against 2
agree 1
agrees 1
ahead 1
airborne 1
airlift 1
airports 2
airstrikes 1
alert 1
alerted 1
alexis 1
all 7
allied 8
allies 3
allows 1
along 1
alongside 1
also 8
although 2
altogether 1
ambushed 1
ambushes 1
an 3
and 26
anger 1
any 1
are 4
area 1
armored 3
army 13
arrives 1
artillery 1
as 12
assault 4
assigns 1
assistance 1
assumption 1
at 9
atomic 2
attack 8
attacks 2
attempts 1
auschwitz 1
authorities 1
b 2
b24 1
back 1
bastogne 1
be 1
beaten 1
because 2
become 1
been 3
before 2
behind 2
being 1
believes 1
berlin 8
blockade 2
blunt 1
bogs 1
bomb 5
bombing 1
book 1
both 1
break 1
bridge 1
bring 2
british 2
broken 1
buchenwald 4
but 4
by 6
called 1
calm 1
came 1
camp 6
can 1
capital 1
captured 1
captures 1
capturing 3
care 1
carry 1
cautious 1
cell 1
character 1
charge 1
city 2
civilians 1
cleanup 1
climax 1
collects 1
command 1
commander 1
commando 1
concentrate 1
concentration 3
considered 1
conspiracies 1
continues 1
convenes 1
convinced 1
convinces 1
convoy 1
cooperation 1
coordinate 1
copy 1
copycat 1
corpses 1
counterattack 1
courtroom 1
cover 1
crashed 1
crashing 1
crewmember 1
crimes 1
cripple 1
crossed 1
cut 2
cutting 1
czechoslovakia 1
das 4
days 1
december 1
decides 1
deep 1
defect 1
defense 1
democratic 1
deployment 1
depths 1
derailing 1
determined 1
die 1
dietrich 1
digging 1
dinant 1
directed 1
discovered 1
discovers 3
division 3
divisions 1
dogfight 1
doubts 1
down 2
driver 1
drop 2
during 2
early 1
eastern 1
eastwall 1
eclipse 1
elbe 1
encircle 1
encirclement 1
encounter 1
enola 1
enraged 1
erases 1
erwin 1
escape 1
especially 1
ettersburg 2
evacuating 1
even 1
event 1
events 1
execute 1
exploits 1
explosion 1
eyed 1
facing 1
fake 1
faster 1
fat 1
february 1
few 3
fictional 1
field 2
fielded 1
fifth 1
final 1
firepower 1
firm 1
first 1
for 4
force 2
forced 1
forces 15
fortify 1
fox 4
frankfurt 1
from 7
front 3
further 1
fury 1
gatow 1
gay 1
gdr 2
general 2
generals 2
george 1
german 9
germany 1
given 1
goes 1
going 1
governmentinexile 1
gra 4
greater 1
ground 3
group 4
groves 1
gruenwald 1
guards 2
guderian 3
gunther 1
h 1
handle 1
has 2
hasso 1
have 3
having 4
he 9
head 1
headquarters 3
heavily 1
heavy 1
heinrich 1
heinz 1
help 1
him 3
himmler 7
himself 2
his 4
history 1
hitler 1
hitlerjugend 1
horrified 1
however 2
in 29
include 1
including 1
infantry 1
information 1
inmates 1
insights 1
instructs 1
intelligence 1
intent 1
interior 1
interpreted 1
into 5
introduced 1
is 14
it 5
its 2
january 1
jared 1
jews 1
jochen 1
july 2
just 1
kampfgruppe 1
karl 1
keep 1
keeps 1
killed 2
killing 2
kim 1
koblenz 1
konev 1
krigoff 3
kustrin 1
large 1
later 1
lead 1
leadership 1
leads 1
leave 1
leaves 1
leibstandarte 1
lest 1
let 1
liberated 1
liberation 1
liberator 1
like 1
lines 2
located 1
lubyanka 1
main 1
major 1
make 2
man 1
manhattan 1
manteuffel 1
many 1
march 1
marshal 3
marshals 1
massive 1
meant 1
meanwhile 1
medical 3
minutes 1
model 1
months 2
more 1
morning 1
name 1
namur 1
narrates 1
nations 1
nazi 1
nazis 1
nearly 1
negotiates 1
next 2
nkvd 1
northern 1
not 2
novel 2
obliterates 1
oder 1
of 29
off 3
offers 1
officer 1
officers 1
on 18
only 1
operation 2
opportunity 1
ordered 1
orders 3
organizes 1
other 3
out 2
outskirts 1
over 2
overseeing 1
oversees 1
panzer 4
part 1
party 1
past 1
patton 3
peaceful 1
peiper 5
period 1
persisted 1
personal 1
personally 1
philby 1
picks 1
points 1
poland 1
polish 1
political 1
potsdam 3
press 1
prevent 1
previous 1
prison 1
prisoners 1
process 1
professor 1
project 1
proper 1
provide 1
provides 1
providing 1
provoked 1
pushing 1
puts 1
race 1
raid 1
randomly 1
reached 1
reassign 1
reconnaissance 1
red 1
reeducation 1
reich 3
reichs 1
reinforcements 1
reinhardt 1
reports 1
republic 1
republican 1
resistance 1
rest 2
resumes 1
retreat 1
rhine 7
river 1
rommel 9
see 1
sending 1
sent 4
sepp 1
several 1
shock 1
short 1
siberia 1
side 3
siege 1
sixth 4
small 2
snowstorm 1
socalled 1
soldier 1
soldiers 1
solution 1
some 2
soviet 8
soviets 5
spent 1
spy 1
ss 2
stalin 4
stay 2
still 1
stockpile 1
stop 1
story 2
struggle 1
student 1
stumbled 1
subplots 1
supplies 1
supposed 1
surrender 4
surrenders 1
survivors 2
tabs 1
take 1
taken 1
tank 1
target 1
team 1
teenage 1
tempelhof 1
tension 1
test 1
than 2
that 6
the 140
their 3
them 1
they 4
third 3
thousands 1
threat 1
through 1
throughout 1
thrust 1
to 49
too 1
train 3
traitor 1
transport 1
tribunal 1
tricked 1
tries 2
trinity 1
trip 1
troops 2
try 2
under 2
uneasy 1
union 2
unit 2
united 1
units 3
unleash 1
up 1
upon 2
us 8
use 1
used 1
uses 1
value 1
volksgrenadier 1
von 2
waffenss 1
war 2
was 6
way 2
wehrmacht 2
well 1
west 1
westwall 1
when 1
where 3
whether 1
while 5
who 10
whom 1
will 2
with 7
withdraw 2
work 1
working 1
workload 1
would 1
wounded 1
zampolit 1
zhukov 4
