4768212
/m/0cm8q0
/m/0cm8q0
Rex Stout

a 12
abandoned 1
about 1
absence 1
adherence 1
after 1
all 1
already 1
also 1
an 2
and 12
annoyed 1
anything 1
archie 10
army 4
arrives 1
as 9
asks 2
assertion 1
assessed 1
assigning 1
assignment 2
at 3
attempt 1
back 3
banks 1
based 1
be 2
beautiful 1
because 1
been 3
before 1
beginnings 1
bigger 1
boss 1
both 1
boyfriend 1
brenner 1
brownstone 2
budge 1
buried 1
business 1
but 4
by 3
caesar 1
carries 1
carrying 1
causing 1
city 1
civilian 2
consequences 1
control 1
cookchef 1
correspondence 1
counter 1
counterattack 1
crime 2
dead 1
decides 1
despite 1
didnt 1
dining 1
directly 1
discover 1
do 1
dockside 1
does 1
doing 1
domestic 1
done 1
during 1
earlier 1
effect 1
effort 1
end 2
enlisting 1
enough 1
erstwhile 1
even 3
exercises 2
expertise 1
fact 1
favor 1
first 1
fit 1
flamingo 1
flight 1
foolish 1
for 3
friend 2
fritz 1
from 5
germans 1
get 2
gets 1
getting 1
gi 1
girlfriend 1
gone 1
goodwin 2
gourmet 1
great 1
grim 1
had 1
has 6
have 2
having 3
he 8
help 1
her 2
hers 1
herself 1
high 1
him 3
himself 1
his 10
home 1
household 1
if 1
ignored 1
impish 1
implicate 1
in 14
inconsistent 1
indeed 1
independence 1
infamous 1
intelligence 3
intent 1
into 1
investigation 1
investigations 2
is 8
isnt 1
it 1
jail 1
jealousy 1
joined 1
joining 1
kill 1
least 1
lengths 1
letters 1
likes 1
lily 7
lived 1
livein 1
look 1
losing 1
ludricous 1
major 1
making 1
meanwhile 1
mention 1
met 1
might 1
mild 1
mixing 1
more 2
morning 1
most 1
mountains 1
much 1
murder 1
nero 2
new 3
next 1
nightclub 1
no 2
not 3
now 1
of 12
officer 1
officestudy 1
on 3
opportunity 1
or 1
other 1
out 3
paper 2
part 1
pathetic 1
pentagon 3
picture 2
pile 1
pleas 1
previous 1
previously 1
problem 2
rank 1
rations 1
reasoning 1
recently 1
recognizes 1
reflects 1
river 1
romance 2
rookie 1
routine 1
rowan 1
rushing 1
scarce 1
scene 1
seat 1
seem 1
seizes 1
setup 1
she 2
short 1
since 1
situation 1
so 1
soldier 1
solves 1
some 1
something 1
soon 1
specifically 1
stories 1
storm 1
story 1
strict 1
suspect 1
takes 1
teaching 1
tells 1
than 1
that 2
the 27
thing 1
thinks 1
this 3
though 1
tidy 1
time 1
to 19
two 1
unable 1
underlying 1
unit 1
up 1
use 1
useful 1
wants 1
war 2
wartime 1
washington 2
way 1
wealthy 1
weight 1
west 1
when 1
where 1
which 1
while 1
who 1
whole 2
whom 2
wishes 1
with 5
without 1
wolfe 11
york 3
