7027463
/m/0h0_cf
/m/0h0_cf
Katherine Kurtz
1973-08-12
1121 1
a 10
ability 1
accompanied 2
acquired 1
actions 1
advisors 1
after 3
against 1
agree 2
agrees 1
aid 1
aide 1
alaric 1
all 1
allied 1
allies 2
also 2
although 1
an 4
and 22
another 1
antideryni 2
arbitrate 1
arcane 3
archbishop 3
are 3
arilan 7
army 6
arrive 1
arrives 2
assault 1
assist 1
at 3
attempted 1
attempts 1
be 3
been 1
before 2
beginning 1
begins 2
beliefs 1
betray 2
betrayal 1
bishop 2
bishops 3
book 1
border 3
both 1
bran 4
brief 1
bring 1
bringing 1
brings 1
but 6
by 8
camberian 2
can 2
capital 1
captured 1
cardiel 2
cardosa 1
castle 1
challenge 2
challenges 1
chambers 1
church 1
city 1
claims 1
combat 1
companions 1
comparing 1
comrades 1
concedes 1
confront 2
confronts 2
consider 1
contact 1
convince 1
cooperation 1
coris 5
coronation 1
coroth 3
corwyn 1
council 6
crown 1
crusade 1
custody 1
de 1
death 1
decide 1
decided 1
demanding 1
denis 1
derry 5
deryni 5
detected 1
determined 1
dhassa 2
directly 1
down 2
ducal 1
duchy 1
due 1
duel 5
duels 1
duke 1
duncan 7
during 1
dying 1
each 2
earl 2
ecclesiastical 1
edmund 1
effects 1
emerges 1
ended 1
enemies 1
establishes 1
eventually 1
evidence 1
explanation 1
explanations 1
face 2
father 1
fifty 1
finally 1
first 1
follow 1
following 2
for 4
force 1
forgive 1
form 1
four 2
fourteenyearold 1
from 2
furious 1
furstn 1
go 1
greeted 1
grey 1
grisly 1
group 1
gwynedd 1
gwyneddan 2
haldane 1
has 5
have 2
having 1
he 6
healing 1
heard 1
hearing 1
highlytrained 1
him 2
himself 1
his 11
holy 1
immediately 1
imposters 1
in 6
including 1
initially 1
inside 1
internal 1
interrupted 1
into 3
invaders 1
invading 1
invasion 1
is 11
issuing 1
it 1
its 1
july 1
june 1
kelson 18
kill 1
king 4
kingdom 1
later 1
leader 1
leading 1
learns 1
led 1
less 1
let 1
lord 1
loris 3
magical 1
manages 1
marches 1
marley 1
mclain 1
meanwhile 1
member 2
mentally 1
monsignor 1
morgan 10
morning 2
murder 1
mysterious 1
named 1
needlessly 1
neighboring 1
nonetheless 1
not 1
nothing 1
novel 1
now 1
of 24
on 1
once 1
one 2
only 1
openly 1
other 1
out 1
over 1
oversee 1
own 1
pain 1
parley 1
period 1
personal 1
physically 1
place 1
poisoned 1
portal 1
powerful 1
powers 2
prepares 1
presence 1
prevent 1
previous 1
provided 1
put 1
real 1
realize 1
reasons 1
rebellion 1
rebellious 1
reconcile 1
reevaluate 1
refused 1
regulate 1
reluctant 1
request 1
requests 1
rescue 1
resolved 1
reveals 3
revolting 1
rides 1
ritualized 1
ruler 1
schism 1
sean 1
secretive 1
secured 1
seek 1
seeks 1
senses 1
session 1
short 1
shortly 1
six 1
sneaks 1
soldiers 1
soon 2
spell 1
such 2
suddenly 2
suffer 1
summoned 1
support 1
surrender 1
taken 1
takes 2
tent 1
than 1
that 4
the 44
their 3
them 3
then 1
thereafter 1
they 3
thomas 1
though 1
three 1
time 1
to 34
together 1
torenth 1
torenthi 2
torture 1
transfer 1
travels 1
treason 1
trick 1
turns 1
two 1
unable 1
unwilling 2
use 1
uses 1
victorious 1
war 1
warin 4
wencit 11
when 2
where 1
which 1
who 6
will 1
win 1
wine 1
with 6
working 1
year 1
years 1
young 1
zealot 1
