22613589
/m/05zjjdt
/m/05zjjdt
Gary Brandner

{"/m/03npn": "Horror"}
a 19
abducts 1
abilities 1
able 1
about 3
accepts 2
activities 1
after 1
also 4
ambitious 1
an 1
and 17
animal 1
are 1
arrives 2
as 6
at 1
attack 1
attacked 1
attention 1
attracted 1
away 1
back 2
bateman 1
be 1
becomes 2
been 1
before 1
begin 1
begins 1
being 1
boy 2
bring 1
bullet 1
bursts 1
but 4
by 5
california 1
californian 1
can 3
care 1
carnival 4
certain 1
change 1
choice 1
clinic 2
community 1
conducts 1
continues 1
course 1
cruel 1
deal 1
deaths 1
derak 9
destroyed 1
dies 1
discovers 1
dismissed 1
doctor 1
down 1
dr 2
drago 6
drifter 1
dubious 1
each 1
end 1
eventually 1
experiment 1
experiments 2
father 1
female 1
fights 1
find 2
fire 3
for 3
forest 1
form 1
former 1
found 1
freak 1
freed 1
friend 1
from 4
gavin 1
grolo 1
group 1
has 6
he 9
head 1
heart 1
henchman 2
her 4
heritage 1
herself 1
hiding 2
him 9
himself 1
his 4
holding 1
holly 8
hospital 1
hospitalized 1
hostage 1
however 5
in 9
into 6
is 17
job 1
join 1
joins 1
just 2
keen 1
kidnapped 1
killing 1
kills 2
lair 1
lang 1
leader 2
leads 1
learn 2
learns 1
live 1
lives 1
living 1
lupe 2
make 1
makes 1
malcolm 21
man 1
meets 1
members 1
minor 1
money 1
more 1
mountain 2
mountains 1
murders 1
named 3
nearby 1
neighboring 1
next 1
now 1
occur 1
of 12
off 1
offers 2
on 3
one 1
only 1
or 2
order 1
other 3
over 2
partially 3
pastory 6
people 2
persuade 1
picture 1
pinyon 6
place 1
placed 1
press 1
prompts 1
psychiatric 1
publicity 2
published 1
ramsay 5
rape 1
recent 1
refuses 1
rescue 1
rescued 1
rescues 1
resident 1
responsible 1
resume 1
returning 1
reveals 1
runs 1
secret 1
see 1
seeing 1
seen 1
she 4
sheriff 2
shoots 1
show 2
silver 1
sinister 1
so 3
specialist 1
still 2
strangle 1
styles 4
subsequently 1
success 1
surprised 1
surviving 1
survivor 1
survivors 2
take 2
teenage 1
that 5
the 33
their 2
them 1
then 1
they 2
this 1
though 1
throughout 1
to 25
tortured 1
town 1
tracked 1
transform 3
transforms 1
travel 1
travelling 1
travels 2
tries 3
true 1
two 1
under 1
unscrupulous 1
until 1
up 1
village 1
wandering 1
wants 2
was 1
way 1
wayne 2
werewolf 7
werewolves 2
where 1
whereabouts 1
which 2
who 8
with 4
without 2
woods 1
working 1
works 1
year 2
young 1
