33635027
/m/04t154l
/m/04t154l
Brian Moore
1960
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 9
about 1
after 2
again 1
all 2
also 2
an 2
and 17
anyway 1
army 1
as 1
at 4
back 2
battles 1
be 1
because 1
begins 1
being 1
belongings 1
better 1
brings 1
broke 1
but 4
called 1
canada 3
careerwise 1
coffey 10
continues 1
count 1
current 1
daughter 1
decides 1
delivery 1
diaper 1
divorce 1
do 1
drunk 1
during 1
emptyhearted 1
encounters 1
even 1
excessive 1
excursions 1
father 1
fighting 1
fights 1
finally 2
finding 1
finds 2
fist 1
flat 1
food 1
for 3
francis 1
friend 1
from 2
gerry 2
get 5
gets 2
ginger 4
go 1
grosvenor 2
hair 1
hard 1
has 3
have 1
he 8
helps 1
her 7
him 2
his 7
home 1
how 2
however 1
impress 1
improving 1
in 4
irishman 1
is 9
it 2
james 1
job 4
just 1
lack 1
leaves 1
let 1
life 1
loves 1
luck 1
man 1
many 1
matter 1
may 1
mind 1
moment 1
money 2
montreal 1
more 1
most 1
moustache 1
move 1
much 1
named 1
newspaper 1
no 1
obsessed 2
of 7
offers 1
on 2
once 1
one 2
only 1
out 1
own 2
paulie 4
pickup 1
place 1
plan 1
plans 1
police 1
promoted 1
promotion 1
proofreader 1
really 1
reddish 1
release 1
reporter 1
repulsive 1
runin 1
schedule 1
sees 2
selflessness 1
she 5
sick 1
side 1
sleep 1
small 1
so 1
spent 1
stay 1
still 3
take 1
takes 4
tell 1
than 1
that 2
the 6
their 3
there 1
they 3
this 1
ticket 1
to 8
together 1
topic 1
trouble 1
turns 1
unconvinced 1
unemployed 1
unfortunately 1
unfulfilled 1
unimpressed 1
up 1
upset 1
veronica 9
very 1
when 2
which 1
who 2
wife 1
will 2
with 8
work 2
working 2
ymca 1
