32776358
/m/0h3q350
/m/0h3q350
Col Buchanan

{"/m/01hmnh": "Fantasy"}
a 24
abandon 1
about 4
accompany 1
adrianos 1
advisers 1
after 4
against 1
agrees 1
air 1
airship 2
alarum 1
alive 6
all 2
allowed 1
almost 2
also 5
although 1
ambassador 1
an 7
and 54
answer 1
any 1
archgeneral 1
are 10
army 9
around 1
as 7
ash 25
asleep 1
assassinate 1
assault 1
assaulting 1
assaults 1
assigns 1
at 1
attack 1
attacks 1
attempt 1
attempts 1
aware 1
away 1
back 2
banks 1
banner 1
bar 1
barely 1
barkhos 2
battle 1
be 5
beachhe 1
became 3
become 1
been 2
before 2
beginning 1
being 2
beliefs 1
bhan 1
bilge 2
blood 1
boards 1
body 1
bodyguard 1
boiled 1
book 1
both 2
break 1
bridge 1
bringing 1
bull 2
bullet 1
but 7
by 9
can 1
cannot 1
capital 1
captured 1
care 1
celebration 1
ceremonial 1
ch 2
change 1
changes 1
che 14
cheer 2
chir 1
choose 1
circle 1
city 4
clear 1
clothes 1
collapses 1
commander 1
concur 1
confides 1
confusion 2
contact 1
convicted 1
convince 1
coup 1
covers 1
coya 1
creed 5
crossbow 1
curl 9
dagger 1
dead 1
death 3
decide 1
decides 1
deemed 1
deposits 1
destroying 1
destruction 1
diplomat 2
diplomatic 1
discharged 1
diving 2
doesnt 1
doing 1
drags 1
drenched 1
drink 1
during 1
duty 1
dying 1
enclosure 1
endedash 1
enlisted 1
enlists 1
enough 1
enraged 1
entire 1
entourage 1
epilogue 1
escape 6
escapes 1
eventually 1
every 1
example 1
explosives 1
face 1
fails 1
fall 1
falls 1
few 1
final 1
finds 3
fire 1
first 4
flagship 1
flees 1
fleet 1
follow 1
following 1
follows 2
food 1
fool 1
for 7
formalities 1
found 2
fourth 1
free 1
from 5
gave 1
general 6
get 1
gets 1
getting 1
gives 2
glass 1
go 1
goes 1
good 1
grabs 1
great 1
grief 1
group 2
grunk 1
guan 1
guanthe 1
guard 1
guarded 1
gun 1
halted 1
harbor 1
has 3
having 2
he 25
head 1
heading 2
heartland 1
heater 1
heavily 1
heavy 1
held 1
help 1
helping 1
her 24
herself 1
hes 4
hiding 1
him 20
himself 2
his 19
home 1
honshu 1
however 1
hunt 1
hunting 1
if 4
immersed 1
imperial 1
in 26
including 1
information 1
informs 1
injured 1
inner 1
inside 1
insults 1
intends 1
into 3
intoxicated 1
is 19
island 2
isles 2
it 3
its 1
itself 1
jar 1
kept 1
khos 4
khosguan 1
kill 6
killed 2
killing 2
kills 1
kira 1
knowing 2
kosh 1
labeled 1
ladies 1
lagos 1
lagoswhose 1
lake 2
land 2
landed 1
lanstrada 1
last 2
later 4
lays 1
learns 1
leaveash 1
leaves 1
led 1
lets 1
life 1
longer 1
looking 2
lords 1
loss 1
losses 1
lover 1
lovertopo 1
lucian 1
made 1
make 3
makes 4
man 1
manage 1
manages 1
mann 4
mannian 2
matriarch 3
medic 1
meer 5
meet 1
meeting 1
meets 2
milk 3
mind 1
misery 1
misses 1
mistress 2
monastery 1
morning 1
mother 1
much 1
must 1
named 1
narcotic 1
narcotics 1
near 2
necessary 1
next 1
nico 1
night 3
no 1
not 5
of 48
off 1
offensive 1
offer 2
offered 1
offers 1
officer 1
old 1
on 9
once 3
one 2
only 2
order 2
orders 3
orgy 1
ornate 1
other 2
out 5
outside 1
over 1
own 2
part 1
participating 1
parts 1
party 1
passes 1
people 1
person 2
personal 2
perusing 1
picks 3
pickup 1
pitfighter 1
plan 1
plans 1
plotting 1
point 1
poison 3
poisoned 1
population 1
ports 1
powerful 1
present 1
previously 1
priest 1
prisoners 2
procession 1
progress 1
prostitute 1
prostitutes 1
punish 1
purpose 1
put 1
qos 1
qosafter 1
question 2
questions 1
reach 1
reaches 6
realizes 1
recovering 1
reese 1
refuses 1
refusing 1
reining 1
remaining 2
remains 1
reminds 1
retaliation 1
retreat 1
return 1
returns 1
reveals 1
romano 7
room 1
royal 3
rshun 5
safety 1
sailors 1
sasheen 16
sasheens 1
sato 2
scare 1
sees 3
sends 1
senior 1
sent 1
sentry 1
seto 1
sets 1
several 2
she 4
ship 3
ships 1
shoots 1
showing 1
side 1
sinks 1
sisterswan 1
sky 2
slandering 1
slaves 1
slip 1
sneaks 1
so 1
soldiers 3
some 1
son 2
sonnico 1
soon 1
sparus 3
speaks 1
specials 1
staking 1
staying 1
stealing 2
still 4
storm 1
story 1
stranded 1
strangles 1
strong 1
successful 2
successor 2
succumbs 1
surrender 1
surrounded 2
survive 1
survives 1
survivor 1
survivors 1
suspects 1
swan 1
swimming 1
take 1
takes 2
taking 2
talk 1
talks 1
task 1
taste 1
teaching 1
tells 5
temple 2
tent 2
terms 1
that 10
the 91
them 4
there 2
they 6
things 1
this 1
those 1
thought 1
threat 1
through 2
till 2
to 45
too 1
topo 1
tortured 1
towards 1
townhe 1
traitor 1
travelling 1
tries 2
try 1
tume 3
tumethey 1
turns 2
twins 2
unfit 1
up 4
vendetta 1
via 1
waiting 1
wanders 1
was 3
washes 1
water 3
waterlogged 1
way 6
ways 1
were 3
where 3
which 4
while 4
whispers 2
who 12
whos 3
whose 1
will 4
wishes 1
with 12
within 1
women 2
woods 1
works 1
year 1
zanzahar 1
