9461165
/m/0289sb4
/m/0289sb4
Pamela Aidan
2004
a 10
able 1
accepts 1
accompanied 1
addict 1
alive 1
all 1
almost 3
alone 1
amongst 1
an 4
and 21
annesley 1
any 1
appear 1
appears 1
are 3
as 4
assembly 1
at 5
attempt 1
attempts 1
away 1
baby 1
background 1
banishing 1
bankrupt 1
based 1
been 1
before 1
begin 1
behind 1
believes 1
bemuses 1
bennet 3
between 1
bingley 1
body 1
but 3
by 4
castle 1
characteristics 1
charles 1
charms 2
child 1
christmas 1
circumstances 1
collection 1
complicated 1
considers 1
conspired 1
culprit 1
darcy 15
darker 1
daughter 1
deceitful 1
decides 1
deeplyhidden 1
desire 1
desires 1
desperate 1
despite 1
destroy 1
direct 1
discover 1
discovers 1
disliked 1
dissuade 1
does 1
drawn 1
during 1
duty 1
eager 1
elizabeth 5
embracing 1
encouraged 1
end 1
entire 1
entirely 1
estate 3
even 1
events 3
extended 1
face 1
family 3
feelings 3
finally 1
find 3
finds 1
fitzwilliam 1
fletcher 2
follow 1
following 1
for 5
forcing 2
former 1
found 1
friend 2
from 5
furthermore 1
gain 1
gambled 1
gambling 1
gathered 1
george 2
georgiana 1
goingson 1
governess 1
great 1
halfsister 1
hands 1
has 3
hated 1
have 2
he 7
her 8
herself 4
hertfordshire 1
him 2
himself 4
his 16
hoping 1
however 2
illfated 1
illtreatment 1
imbued 1
importance 1
in 5
increasingly 1
inherit 1
initial 1
interest 1
interfered 1
investigating 1
invitation 1
is 9
jane 1
joining 1
kidnapped 1
kills 1
lady 4
leaving 2
like 1
lingering 1
local 1
locals 1
lord 1
loyal 1
manages 1
manipulating 1
many 2
married 1
members 1
men 1
more 2
mother 1
mrs 1
narrative 1
nature 1
nearby 1
needs 1
new 1
norwycke 2
not 3
novel 3
nowdeceased 1
numerous 1
occur 1
of 12
off 1
old 1
on 4
once 1
ongoing 1
opens 1
or 1
own 3
park 1
party 2
passion 1
pig 1
place 1
possessions 1
prejudice 1
preparing 1
presence 1
pride 1
prides 1
reappearance 1
recent 1
recovering 1
relation 1
religion 1
remains 1
resolves 1
resort 1
revealed 1
revenge 2
ritualistically 1
romance 1
romantic 1
room 1
rosings 1
ruined 1
sayre 9
schemes 1
scheming 1
season 1
seem 1
sees 1
selfexamination 1
several 1
share 1
significant 1
sinister 1
sister 2
slain 1
social 1
something 1
soon 1
spells 1
sphere 2
started 1
stay 2
stepmother 2
stepson 1
stolen 1
stones 1
such 1
suitable 1
supernatural 1
superstitious 1
swears 1
swiftly 1
sylvanie 3
tactics 1
takes 1
than 1
that 6
the 18
their 1
there 1
they 1
this 2
throughout 1
thus 1
time 1
to 22
towards 1
trouble 1
troubles 1
trying 1
uncovers 1
underhanded 1
university 1
unrequited 1
unscrupulous 1
unsettled 1
untangle 1
unusual 3
unworthy 1
use 1
valet 1
various 1
was 1
week 1
well 1
wellmeaning 1
what 2
when 1
which 2
who 7
wickham 2
wife 3
will 1
with 7
within 3
woman 1
