32803482
/m/0h3lmtx
/m/0h3lmtx
Ander Monson
2005-05-01
{"/m/0488wh": "Literary fiction"}
a 6
alerting 1
and 3
another 1
around 1
as 1
based 1
basis 1
being 1
book 1
central 1
chapter 1
character 2
characters 1
child 1
crash 1
describes 1
electricities 1
experiences 1
family 2
focuses 1
friends 1
frozen 1
girlfriend 1
growing 1
had 1
his 2
in 4
interactions 2
is 3
killed 1
liz 1
michigan 2
monson 1
much 2
novel 2
of 5
officer 1
on 3
one 1
opening 1
other 1
peninsula 1
police 1
protagonist 2
reviewers 1
revolves 1
river 1
semiautobiographical 1
small 1
snowmobile 1
some 1
speculate 1
that 1
the 9
their 1
town 1
up 1
upper 2
which 1
with 2
yr 3
