27134307
/m/0bwfvqt
/m/0bwfvqt
Maurice Sendak
1981
a 2
absorbed 1
adventure 1
an 1
and 2
as 1
away 1
baby 3
becomes 1
by 1
care 1
committed 1
distracted 1
easily 1
embarking 1
fantastic 1
father 2
feelings 1
fey 1
for 1
from 1
fully 1
girl 1
goal 1
harbors 1
her 8
home 2
ice 1
ida 3
in 3
initially 1
is 4
jealousy 1
kidnapped 1
largely 1
leave 1
magic 1
mysterious 1
named 1
nearly 1
now 1
nursery 1
of 3
on 1
passing 1
place 1
quest 1
rescue 1
rescuing 1
resentment 1
resolves 1
responsible 1
returning 1
returns 1
robed 1
she 3
sister 6
succeeds 1
the 4
their 2
through 1
to 2
towards 1
ultimately 1
until 1
when 1
while 1
who 1
whom 1
window 1
young 1
