645474
/m/02_3rk
/m/02_3rk
Robert Jordan
2003-01-07
a 4
ablar 1
accepted 1
addition 1
aes 1
after 2
agents 1
aiel 1
alliance 1
also 1
althor 1
and 3
andor 1
approached 1
at 4
aybara 1
bashere 2
basis 1
be 1
become 1
been 1
blocking 1
book 2
but 2
by 2
can 1
cauthon 1
channel 1
cleansing 1
continues 3
courting 1
daughter 2
davram 1
defeat 1
demand 1
discovers 1
dragon 2
egwene 1
elayne 1
end 2
escape 1
even 1
expecting 1
faile 1
father 1
for 1
foreshadowing 1
from 1
has 2
have 1
he 2
her 1
him 1
his 2
hold 1
identity 1
in 2
information 1
is 8
it 3
kept 1
kidnapped 3
known 1
leads 1
least 1
lion 1
logain 1
loial 1
maintaining 1
mat 2
meet 1
moons 2
negotiate 1
nine 2
not 1
of 11
on 2
one 2
ordeal 1
others 1
perrin 2
port 1
power 2
presence 1
prisoners 1
prophesied 1
rand 2
rebel 1
reborn 2
rescue 1
resorting 1
rests 1
return 1
revealed 1
river 1
seanchan 4
seanchancontrolled 1
secret 1
sedai 1
sends 1
shaido 2
she 2
siege 1
solidify 1
successfully 1
suggestion 1
suldam 1
tar 1
taught 1
tell 1
temporary 1
territory 1
that 3
the 31
they 1
throne 1
to 9
torturing 1
tower 2
trakand 1
trap 1
truce 2
trying 3
tuon 2
twins 1
valon 1
while 1
white 2
who 2
whom 1
wife 2
will 1
with 5
woman 1
