21062451
/m/05c510v
/m/05c510v


{"/m/06n90": "Science Fiction"}
a 8
after 1
also 1
and 8
any 1
apparently 2
approach 1
are 5
as 5
assume 1
at 1
be 2
before 1
between 1
black 1
book 1
boxes 1
buildings 1
but 1
capable 1
cars 1
cellulose 1
clear 1
colored 1
communicate 1
composed 1
confusing 1
consume 1
consuming 1
contact 1
crash 1
created 1
deep 1
dense 1
descending 1
didnt 1
disruption 1
do 1
earth 3
economic 1
element 1
end 1
even 2
eventually 1
experiencing 1
flying 1
for 2
form 1
from 2
gift 1
gifts 1
group 1
have 1
he 1
housing 1
human 2
humans 4
if 1
implied 1
in 4
incorporating 1
incur 1
inside 2
instinct 1
intelligence 1
into 1
is 3
it 2
jumble 1
kept 1
large 1
largely 1
least 1
life 1
lights 1
living 2
matter 1
may 1
meaningful 1
might 1
move 1
mysterious 1
mysteriousnbsp 1
nature 1
not 2
novel 1
objects 1
oblong 1
occasion 1
of 10
on 3
one 1
only 1
or 2
orbit 1
outlines 1
own 1
perhaps 1
plant 2
principles 1
proceed 1
producing 2
quantity 1
rather 1
released 1
resembling 1
return 1
right 1
same 1
simple 1
since 1
smells 1
some 1
something 1
space 2
start 2
states 1
story 1
such 1
superficially 1
systems 1
taken 1
that 2
the 21
their 1
themnbsp 1
themselves 2
these 1
they 6
things 2
title 1
to 4
touches 1
toward 1
trees 1
unable 1
understand 1
united 1
units 1
unknown 1
us 1
using 1
vehicles 3
version 1
visitor 1
visitorproduced 1
visitors 8
way 1
wellmeaning 1
which 3
with 1
