5630795
/m/0dx7fs
/m/0dx7fs
Harry Turtledove
1999-08-03
{"/m/0mz2": "Alternate history"}
114 1
115116 1
54 1
a 8
administration 1
after 1
against 1
allow 1
also 1
and 4
are 1
armstrong 1
army 1
as 7
back 1
barrels 1
be 1
begins 1
begun 1
bill 1
black 1
blacks 1
both 1
break 1
but 1
by 1
capital 1
change 1
citizenship 1
confederacy 4
confederate 3
conquer 1
consider 1
conversely 1
cs 2
csa 1
custer 1
dc 1
deal 1
eligible 1
ends 1
enough 1
even 1
faced 2
favor 1
flora 1
forced 1
from 2
gains 2
george 1
government 1
had 1
hamburger 1
hands 1
has 1
have 1
he 1
her 2
hold 1
house 1
however 1
in 11
installing 1
into 2
is 6
it 1
its 1
kentucky 3
know 1
led 1
locked 1
lose 1
losing 1
manages 1
maryland 3
meanwhile 1
member 1
men 1
more 1
moving 1
must 1
new 2
nomination 1
north 1
novel 1
now 1
number 1
of 9
offensive 1
offensives 1
offering 1
old 1
on 1
party 1
pennsylvania 1
population 1
possession 1
possibility 1
president 1
pushed 1
pushing 2
readmit 1
rebelled 1
rebellion 1
reelected 1
representatives 1
rising 1
roosevelt 1
same 1
serve 1
shortage 1
since 1
socialist 1
south 1
southern 1
stalemate 1
stalled 1
states 3
still 1
tanks 1
territory 1
that 2
the 22
their 4
them 1
theodore 1
though 1
through 1
to 10
turn 1
union 1
united 2
up 1
us 3
uses 1
volunteers 1
war 2
washington 1
we 1
weakens 1
well 1
what 1
white 1
with 3
would 1
years 1
york 1
