8620392
/m/027bbs2
/m/027bbs2
John Fletcher


15 1
2004 1
6 1
a 12
abandoning 1
absence 1
abstension 1
abuse 1
act 3
actual 1
after 1
again 1
almost 1
alwayscontroversial 1
amidst 1
an 6
and 18
anew 1
announces 1
any 1
are 3
aristophanes 1
arranged 1
as 4
at 1
attaining 1
attempt 3
attire 1
attitudes 1
audience 1
avoid 1
awaken 2
back 1
bafflement 1
bands 1
barricade 1
been 2
before 1
begun 1
being 1
below 2
better 1
between 1
borne 1
both 1
brings 1
broaden 1
broken 1
busy 1
but 4
by 4
canon 1
career 1
catches 1
caught 1
celebrated 1
centuries 1
changes 1
choice 1
coffin 2
comic 1
commentators 1
common 1
company 1
compassion 1
conjugal 1
consummate 1
counterpart 1
country 1
critics 1
dead 2
death 1
debated 1
decides 1
defeated 1
degree 1
demands 1
depart 1
discovers 1
displeased 1
domination 1
dress 1
duties 1
earlier 1
early 1
effective 2
egalitarianism 1
elizabethan 1
encourages 1
end 1
ended 1
ends 1
enough 1
entrance 1
equality 1
era 1
estate 1
even 1
expressed 1
extremely 1
fails 1
famous 1
fantastic 1
far 2
few 1
fights 1
final 2
finally 1
finding 1
five 1
fletcher 4
flirting 1
floor 1
foolish 1
for 2
foreign 1
four 1
friends 2
from 6
further 1
genders 1
gone 1
greater 1
had 2
has 8
have 2
he 6
her 6
him 2
his 15
horsemanship 1
house 2
how 1
human 1
humorous 1
husband 2
husbands 2
if 1
ill 1
imposes 1
in 24
indeed 1
influence 1
initially 1
inspired 1
into 1
ironic 1
is 8
january 1
joins 1
journeys 1
katherine 2
last 1
life 1
lifehow 1
like 1
little 1
livia 2
longer 1
lysistrata 1
madshe 1
man 1
manipulations 1
march 1
maria 12
marriage 4
married 2
marry 1
may 2
mood 1
more 4
moroso 1
motive 1
moved 1
no 1
not 2
now 1
oeuvre 1
of 13
old 1
on 5
once 1
one 2
onstage 1
opens 1
opportunistic 1
other 1
out 1
own 2
peace 1
perfect 1
perform 1
person 1
petruchio 13
pity 1
plague 1
play 10
pledge 1
pretext 2
primary 1
prize 1
production 1
prompting 1
protest 1
protofeminist 1
provisions 1
pursue 1
ran 1
readers 1
reason 1
refuses 2
remained 1
resembling 1
resistant 1
resolves 1
resourceful 1
respect 1
revived 1
richly 1
royal 1
ruse 1
salvo 1
scene 1
scenes 1
scholarship 1
score 1
settles 1
sex 1
shakespeare 1
she 3
show 1
shows 2
simply 1
sits 1
some 2
spark 1
speech 1
stage 1
standard 1
start 1
state 1
stormy 1
stratagem 1
subplot 1
succeed 1
success 1
surprise 1
surprised 1
sympathy 1
tactics 1
tears 1
tells 1
than 3
that 7
the 25
theater 1
their 5
themselves 1
they 2
this 1
though 1
three 1
till 1
to 19
together 2
topic 1
total 1
totally 2
travel 1
tricks 1
tries 1
turn 1
two 2
unmanly 1
unpleasant 1
up 2
upper 1
us 1
vision 1
walled 1
was 1
way 1
ways 1
what 1
when 3
whether 1
who 1
whole 1
whore 1
wife 3
will 1
wishes 1
with 9
woman 1
women 4
wretched 1
year 1
