5640424
/m/0dxr8y
/m/0dxr8y
Glen Cook
2005-05
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 7
actually 2
addition 1
agrees 1
an 1
and 15
appears 1
are 1
around 1
as 3
aspiring 1
associated 1
at 5
attention 1
be 2
been 1
being 1
belinda 2
big 1
birthday 1
blackmailed 1
body 1
bosses 1
burst 1
by 6
can 1
capture 1
captured 1
chodo 10
clever 1
clues 1
combustions 2
company 1
compiling 1
completely 1
condition 1
confusion 1
connection 1
contague 7
continues 1
dark 1
daughter 1
dead 6
deduces 1
deductive 1
door 1
dotes 1
down 2
drawing 1
dreadful 2
drops 1
efforts 2
emotions 1
escape 1
evening 1
events 1
eventually 1
fact 1
faction 1
factions 2
father 1
fears 1
few 1
final 1
finale 1
finds 1
flames 1
follows 1
for 5
friends 2
from 4
gang 5
garrett 13
geared 1
get 1
gets 1
getting 1
going 1
gone 1
green 4
guests 1
had 3
hanging 1
harass 1
harvester 2
has 1
have 1
he 6
held 1
help 3
her 1
hiding 2
him 1
his 5
home 2
house 2
impaired 1
improves 1
in 3
into 2
introduced 1
is 7
kid 1
knocked 1
knows 2
lawyer 1
leader 1
likes 1
long 1
longer 1
look 1
mafia 3
man 6
many 1
matter 1
may 1
meeting 1
meets 1
mentally 1
mess 1
missing 1
mob 1
more 2
morley 2
morning 1
mr 1
muchdespised 1
mysteries 1
mysteriously 1
named 2
nearly 1
no 1
none 1
not 1
number 1
occurring 1
of 9
on 2
one 3
only 1
ordeal 1
organizes 1
other 2
out 2
outfit 1
outside 1
pants 5
paralyzed 1
parrot 1
partially 1
party 2
penny 2
people 1
perched 1
physically 1
plaid 1
plot 1
point 1
poisoned 1
powers 1
pretty 1
previously 1
psychic 1
reasoning 1
recuperates 1
religious 1
responsible 1
rests 1
reveals 1
rise 1
secret 1
seemed 1
seems 1
separated 1
shoulder 1
so 2
some 3
somehow 1
spontaneous 2
strange 1
streets 1
subordinate 1
summoned 1
survives 1
suspect 1
teacher 1
temisk 3
than 2
that 5
the 32
there 1
things 1
thug 1
time 1
to 9
top 1
towards 1
track 1
tunfaire 1
twists 1
ugly 2
unexplainable 1
unnatural 1
unraveling 1
until 1
warring 1
was 1
wearing 1
well 1
when 1
where 1
which 1
while 1
white 1
who 5
whole 1
with 9
within 1
worked 1
worst 1
