664295
/m/030ytl
/m/030ytl
Daniel Handler
2001-03
{"/m/05hgj": "Novel", "/m/0pym5": "Absurdist fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/039vk": "Gothic fiction", "/m/06www": "Steampunk"}
46 1
50 2
66 1
667 1
a 10
about 2
adviser 1
along 1
already 2
although 1
an 5
and 21
ankle 1
apartment 1
aqueous 1
are 5
arguing 1
arrangements 1
as 7
ask 1
associates 1
at 3
attempt 1
auction 5
auctioneer 1
auctioning 1
audience 1
avenue 1
avoids 1
away 2
back 2
baudelaire 2
baudelaires 5
be 1
because 3
begun 1
being 1
believe 1
believes 1
bid 1
bids 1
bites 1
boots 2
bottom 2
box 1
building 1
busy 1
but 4
buy 1
by 2
caf 1
cage 1
calling 1
can 1
cast 1
catalog 1
ceiling 1
charred 1
children 10
city 2
climb 2
climbs 1
concerned 1
consists 1
count 4
cover 1
cowardly 1
crowd 1
dark 2
dead 1
despite 2
dinner 1
discover 1
discussing 1
disguise 1
dismisses 1
dispirited 1
disputes 1
doilies 2
door 2
doorman 1
down 6
each 1
elevator 3
elevators 2
empty 2
end 1
ends 1
ersatz 4
escape 1
esm 6
except 1
extra 1
eye 1
eyebrow 2
fact 1
fake 1
fancy 2
far 1
financial 1
find 5
finds 1
flee 1
flights 1
floor 2
fly 1
follows 1
for 3
forced 1
free 1
from 1
garnished 1
gets 1
give 1
glass 1
gunther 7
halfway 1
hall 2
hallway 1
has 3
hates 1
he 4
help 1
her 4
herring 1
hidden 1
hiding 1
high 1
his 7
hole 1
home 2
hookhanded 1
however 1
important 1
in 11
insists 1
instead 1
instructions 1
into 1
introduces 1
is 13
it 4
jerome 9
join 1
jumps 1
keep 1
kidnap 1
klaus 2
land 1
leaving 1
light 1
live 1
location 1
lot 3
man 1
mansion 1
martinis 1
monocle 2
most 1
mr 3
net 4
new 2
not 1
nothing 1
notices 1
object 1
of 12
off 2
offers 1
olaf 4
olive 1
on 10
one 2
only 3
open 1
or 1
out 4
penthouse 3
planning 1
plot 1
poe 3
police 1
pounding 1
pretends 1
privately 1
protestations 1
pursued 1
pushes 1
quagmire 1
quagmires 6
razor 1
recognize 1
red 1
refuse 1
remains 1
rescue 1
restaurant 2
return 3
reveal 1
revealed 2
revealing 1
reveals 1
rope 2
rush 1
salmonella 1
say 1
sends 1
served 1
shaft 6
sharp 1
she 2
show 1
sit 1
sixth 1
slips 1
smuggle 1
squalor 2
squalors 1
stage 1
stairs 2
statue 1
story 2
street 1
sunny 3
suspicions 1
takes 1
taking 1
tattoo 2
teeth 1
that 6
the 69
their 5
them 9
themselves 1
there 2
they 10
this 1
three 1
through 1
to 26
too 1
tools 1
top 1
torches 1
trap 1
trapped 1
travel 1
trendy 1
triplets 1
two 2
unpopular 1
up 4
using 1
veblen 1
very 1
vfd 1
vietnamese 1
violet 1
walk 2
want 1
wants 1
water 1
welcomes 1
welding 1
what 2
when 3
where 1
which 3
who 1
wife 1
will 2
wins 1
with 9
working 1
xenophobic 1
