564174
/m/02qh1r
/m/02qh1r
Fyodor Dostoyevsky
1869
100000 3
75000 1
a 31
accept 1
accidentally 1
accompanied 1
acknowledge 1
acquaintance 1
acquiescence 1
actually 1
adelaida 1
admit 1
advice 1
after 1
against 2
aglaya 8
agree 1
alexandrovna 1
all 1
alleged 1
allmyshkin 1
along 1
also 2
although 1
ambitious 1
among 1
an 7
anastassya 1
and 39
announce 1
announcing 1
another 1
apartment 1
appears 1
ardalyonovich 1
ardalyonovna 1
ardent 1
are 2
aristocracy 1
aristocrat 1
arranges 1
arrival 1
arrives 4
as 7
asks 1
assistant 1
at 7
attempt 1
attempts 1
attitude 1
barashkov 1
be 3
beating 1
beautiful 4
becomes 1
been 1
begins 1
being 1
benefactor 1
between 3
birthday 1
body 1
breaks 1
bring 1
brother 1
burdovsky 4
but 4
by 11
capricious 1
catholic 1
character 1
charactersthe 1
chinese 1
choose 1
chooses 1
claim 1
claims 3
clinic 1
compassionate 2
complex 1
compounded 1
confesses 1
confront 1
consumptive 1
continuing 1
count 2
couple 1
course 1
creditors 1
crosses 1
crowd 1
cutting 1
daughtersalexandra 1
day 1
deeply 1
deficiencies 1
demand 1
demands 1
demurs 1
depart 1
descendant 1
desire 1
dinner 1
discovered 1
discuss 1
discusses 1
discussion 1
disdain 1
distant 1
does 1
drunks 1
during 2
ending 1
engagement 1
epilepsy 1
epileptic 2
even 2
evening 2
exchange 1
exileand 1
exileat 1
exiled 1
expected 1
expressed 1
extraordinarily 1
fact 1
fairhaired 1
fallen 1
falls 1
family 5
fatale 1
father 1
feelings 1
femme 1
ferdyshchenko 2
fianc 1
fifteen 1
fifties 1
filippovna 14
filippovnaspend 1
finally 1
financially 1
fire 1
first 1
fit 2
following 1
follows 2
for 12
fortune 1
four 1
fraudulent 1
fraudulenthe 1
frequently 1
friend 2
from 3
front 1
functionary 1
further 1
future 1
ganya 13
gavrila 1
general 4
get 1
girl 1
goes 2
good 1
group 1
guests 2
hall 1
hard 1
has 10
haughty 1
have 1
he 13
help 1
her 23
herself 1
highly 1
him 2
himself 1
hippolite 1
his 14
honor 1
hope 1
horrified 1
hotel 1
house 1
household 1
however 1
husband 1
if 2
in 19
include 1
increasingly 1
inheritance 2
inherited 1
innocent 1
insightful 1
insolent 1
instead 3
insult 1
insults 1
intellectual 1
intensity 1
introduced 1
is 22
it 1
ivolgin 4
ivolginand 1
ivolgins 1
jealous 1
jealousy 1
journey 1
just 1
keep 1
kolya 3
labor 1
laid 1
large 1
last 2
late 3
later 4
learns 1
least 1
leave 1
leaves 1
lebedev 1
letters 1
lev 1
lines 1
lizaveta 1
lodger 1
love 6
loves 1
mad 1
madame 1
main 1
makes 1
man 3
marriage 1
marries 2
marry 7
match 1
meet 1
meeting 1
meets 3
members 1
men 2
might 1
mild 1
mistress 1
mocks 1
money 1
months 1
morning 1
most 2
mother 1
motivated 1
much 1
murder 1
myshkin 26
named 2
nastassya 15
nave 1
nearby 1
neither 1
newly 1
next 1
nicknamed 1
night 1
nikolai 1
nikolayevich 1
nina 1
nobility 3
nor 2
not 4
novel 1
november 1
now 1
obsessed 1
obsessively 1
obviously 1
occupied 1
of 29
off 1
offers 1
often 2
old 1
oldest 1
on 6
once 1
one 1
only 1
openly 2
or 1
others 1
out 4
over 2
own 1
parfyon 1
particularly 1
party 3
passion 1
passionate 1
pavlishchev 3
pavlovsk 2
persuade 1
petersburg 7
pity 1
polish 1
political 1
popular 1
possibility 1
possible 1
priest 1
prince 15
prokofyevna 1
promised 2
promises 1
prompting 1
proposal 1
proposed 1
ptitsyn 1
ptitsyna 1
publicly 1
pursued 1
rage 1
raises 1
received 1
recently 1
reciprocate 1
refused 1
refuses 2
reimbursement 1
relation 2
relatives 1
religion 2
renews 1
renounce 1
rents 2
replies 1
residence 1
respected 1
restrains 1
returns 2
rogozhin 19
rogue 1
rogues 1
romantically 1
room 1
rooms 1
rowdy 1
rubles 4
ruin 1
russia 1
russian 2
same 1
sanitorium 1
satisfies 1
saves 1
selfpunishing 1
semyonovich 1
sentenced 1
seventeenyear 1
several 1
shall 1
she 4
shrinks 1
siberia 1
sickly 1
sister 1
six 1
slain 1
smaller 1
so 2
son 2
speech 1
spends 1
spent 1
st 6
stab 1
stages 1
strength 1
struck 1
study 1
subject 1
submitting 1
suffering 1
suffers 1
suitor 1
summer 2
support 1
supported 1
supposed 1
surprised 1
swiss 1
teenage 1
telling 1
terentyev 1
than 1
that 10
the 63
their 1
them 3
then 3
they 2
though 2
three 1
throat 1
throwing 1
time 2
to 34
topic 1
tormented 2
torn 1
totsky 3
touched 1
town 1
train 2
treatment 1
trying 1
turned 1
turns 2
twenties 1
two 2
unanticipated 1
uninvited 1
usurer 1
vain 1
varvara 1
varya 3
vase 1
very 1
vigil 1
visit 1
visits 1
vow 1
wants 1
was 1
wealthy 3
week 1
well 2
whether 1
which 3
who 8
whom 5
wife 2
willful 1
willing 1
wishes 1
with 8
woman 2
women 1
would 1
writing 1
years 2
yepanchin 5
yepanchins 3
yet 2
young 3
youngest 1
